"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","",""
"    Total households","115,226,802","±238,575","115,226,802","(X)"
"    Family households (families)","76,595,548","±218,967","66.5%","±0.1"
"        With own children under 18 years","34,484,648","±184,418","29.9%","±0.1"
"        Married-couple family","56,428,122","±278,062","49.0%","±0.1"
"            With own children under 18 years","23,426,943","±213,888","20.3%","±0.1"
"        Male householder, no wife present, family","5,346,139","±33,892","4.6%","±0.1"
"            With own children under 18 years","2,595,537","±17,251","2.3%","±0.1"
"        Female householder, no husband present, family","14,821,287","±39,699","12.9%","±0.1"
"            With own children under 18 years","8,462,168","±25,154","7.3%","±0.1"
"    Nonfamily households","38,631,254","±40,816","33.5%","±0.1"
"        Householder living alone","31,631,926","±69,391","27.5%","±0.1"
"            65 years and over","11,087,417","±112,237","9.6%","±0.1"
"    Households with one or more people under 18 years","38,324,455","±180,621","33.3%","±0.1"
"    Households with one or more people 65 years and over","28,676,599","±99,018","24.9%","±0.1"
"    Average household size","2.61","±0.01","(X)","(X)"
"    Average family size","3.21","±0.01","(X)","(X)"
"RELATIONSHIP","","","",""
"    Population in households","301,123,130","*****","301,123,130","(X)"
"    Householder","115,226,802","±238,575","38.3%","±0.1"
"    Spouse","56,394,920","±274,191","18.7%","±0.1"
"    Child","91,891,950","±77,288","30.5%","±0.1"
"    Other relatives","20,735,185","±241,346","6.9%","±0.1"
"    Nonrelatives","16,874,273","±207,976","5.6%","±0.1"
"        Unmarried partner","6,680,331","±20,946","2.2%","±0.1"
"MARITAL STATUS","","","",""
"    Males 15 years and over","120,789,875","±6,933","120,789,875","(X)"
"    Never married","42,377,084","±158,587","35.1%","±0.1"
"    Now married, except separated","61,730,928","±244,173","51.1%","±0.2"
"    Separated","2,202,348","±18,732","1.8%","±0.1"
"    Widowed","3,052,335","±12,753","2.5%","±0.1"
"    Divorced","11,427,180","±76,454","9.5%","±0.1"
"    Females 15 years and over","127,252,362","±5,344","127,252,362","(X)"
"    Never married","36,577,855","±121,685","28.7%","±0.1"
"    Now married, except separated","60,367,016","±194,055","47.4%","±0.2"
"    Separated","3,190,130","±24,442","2.5%","±0.1"
"    Widowed","11,886,647","±24,085","9.3%","±0.1"
"    Divorced","15,230,714","±70,847","12.0%","±0.1"
"FERTILITY","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","4,278,307","±24,203","4,278,307","(X)"
"    Unmarried women (widowed, divorced, and never married)","1,497,060","±10,428","35.0%","±0.3"
"        Per 1,000 unmarried women","37","±1","(X)","(X)"
"    Per 1,000 women 15 to 50 years old","56","±1","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","26","±1","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","100","±1","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","25","±1","(X)","(X)"
"GRANDPARENTS","","","",""
"    Number of grandparents living with own grandchildren under 18 years","6,850,491","±30,643","6,850,491","(X)"
