"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","",""
"    Total households","117,716,237","±222,078","117,716,237","(X)"
"        Family households (families)","77,608,829","±218,458","65.9%","±0.1"
"            With own children of the householder under 18 years","33,567,476","±172,044","28.5%","±0.1"
"            Married-couple family","56,781,405","±282,234","48.2%","±0.1"
"                With own children of the householder under 18 years","22,632,647","±202,737","19.2%","±0.1"
"            Male householder, no wife present, family","5,681,312","±34,594","4.8%","±0.1"
"                With own children of the householder under 18 years","2,702,220","±17,335","2.3%","±0.1"
"            Female householder, no husband present, family","15,146,112","±40,842","12.9%","±0.1"
"                With own children of the householder under 18 years","8,232,609","±26,072","7.0%","±0.1"
"        Nonfamily households","40,107,408","±32,057","34.1%","±0.1"
"            Householder living alone","32,595,486","±46,684","27.7%","±0.1"
"                65 years and over","12,195,777","±95,886","10.4%","±0.1"
"    Households with one or more people under 18 years","37,648,651","±171,326","32.0%","±0.1"
"    Households with one or more people 65 years and over","32,279,776","±92,822","27.4%","±0.1"
"    Average household size","2.64","±0.01","(X)","(X)"
"    Average family size","3.24","±0.01","(X)","(X)"
"RELATIONSHIP","","","",""
"    Population in households","310,482,947","*****","310,482,947","(X)"
"        Householder","117,716,237","±222,078","37.9%","±0.1"
"        Spouse","56,757,535","±275,201","18.3%","±0.1"
"        Child","94,371,031","±85,945","30.4%","±0.1"
"        Other relatives","22,824,262","±235,024","7.4%","±0.1"
"        Nonrelatives","18,813,882","±196,730","6.1%","±0.1"
"            Unmarried partner","7,174,482","±20,186","2.3%","±0.1"
"MARITAL STATUS","","","",""
"    Males 15 years and over","125,586,899","±5,570","125,586,899","(X)"
"        Never married","45,477,830","±162,764","36.2%","±0.1"
"        Now married, except separated","62,562,595","±247,733","49.8%","±0.2"
"        Separated","2,215,166","±19,056","1.8%","±0.1"
"        Widowed","3,254,612","±11,890","2.6%","±0.1"
"        Divorced","12,076,696","±71,073","9.6%","±0.1"
"    Females 15 years and over","131,931,403","±6,035","131,931,403","(X)"
"        Never married","39,563,948","±127,291","30.0%","±0.1"
"        Now married, except separated","61,208,339","±208,012","46.4%","±0.2"
"        Separated","3,156,996","±25,771","2.4%","±0.1"
"        Widowed","11,871,137","±20,898","9.0%","±0.1"
"        Divorced","16,130,983","±65,240","12.2%","±0.1"
"FERTILITY","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","4,001,559","±21,444","4,001,559","(X)"
"        Unmarried women (widowed, divorced, and never married)","1,413,586","±11,167","35.3%","±0.3"
"            Per 1,000 unmarried women","33","±1","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","52","±1","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","17","±1","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","92","±1","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","25","±1","(X)","(X)"
"GRANDPARENTS","","","",""
"    Number of grandparents living with own grandchildren under 18 years","7,243,142","±31,841","7,243,142","(X)"
"        Grandparents responsible for grandchildren","2,646,027","±15,427","36.5%","±0.2"
"        Years responsible for grandchildren","","","",""
"            Less than 1 year","530,979","±7,478","7.3%","±0.1"
"            1 or 2 years","588,391","±7,605","8.1%","±0.1"
"            3 or 4 years","437,792","±5,726","6.0%","±0.1"
"            5 or more years","1,088,865","±8,047","15.0%","±0.1"
"    Number of grandparents responsible for own grandchildren under 18 years","2,646,027","±15,427","2,646,027","(X)"
"        Who are female","1,653,986","±9,479","62.5%","±0.1"
"        Who are married","1,851,722","±13,601","70.0%","±0.2"
"SCHOOL ENROLLMENT","","","",""
"    Population 3 years and over enrolled in school","82,148,370","±80,530","82,148,370","(X)"
"        Nursery school, preschool","4,959,823","±23,192","6.0%","±0.1"
"        Kindergarten","4,181,764","±15,488","5.1%","±0.1"
"        Elementary school (grades 1-8)","32,831,750","±23,475","40.0%","±0.1"
"        High school (grades 9-12)","16,985,786","±17,863","20.7%","±0.1"
"        College or graduate school","23,189,247","±64,315","28.2%","±0.1"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 years and over","213,649,147","±15,761","213,649,147","(X)"
"        Less than 9th grade","11,913,913","±60,796","5.6%","±0.1"
"        9th to 12th grade, no diploma","15,904,467","±70,156","7.4%","±0.1"
"        High school graduate (includes equivalency)","58,820,411","±182,369","27.5%","±0.1"
"        Some college, no degree","44,772,845","±41,794","21.0%","±0.1"
"        Associate's degree","17,469,724","±41,879","8.2%","±0.1"
"        Bachelor's degree","40,189,920","±142,140","18.8%","±0.1"
"        Graduate or professional degree","24,577,867","±151,189","11.5%","±0.1"
"    Percent high school graduate or higher","(X)","(X)","87.0%","±0.1"
"    Percent bachelor's degree or higher","(X)","(X)","30.3%","±0.1"
"VETERAN STATUS","","","",""
"    Civilian population 18 years and over","243,935,157","±7,019","243,935,157","(X)"
"        Civilian veterans","19,535,341","±38,684","8.0%","±0.1"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","",""
"    Total Civilian Noninstitutionalized Population","313,576,137","±10,365","313,576,137","(X)"
"        With a disability","39,272,529","±64,673","12.5%","±0.1"
"    Under 18 years","73,475,378","±8,041","73,475,378","(X)"
"        With a disability","3,042,011","±14,693","4.1%","±0.1"
"    18 to 64 years","195,226,024","±10,224","195,226,024","(X)"
"        With a disability","20,188,257","±46,196","10.3%","±0.1"
"    65 years and over","44,874,735","±6,103","44,874,735","(X)"
"        With a disability","16,042,261","±25,709","35.7%","±0.1"
"RESIDENCE 1 YEAR AGO","","","",""
"    Population 1 year and over","314,813,229","±13,481","314,813,229","(X)"
"        Same house","268,263,124","±219,041","85.2%","±0.1"
"        Different house in the U.S.","44,537,373","±214,266","14.1%","±0.1"
"            Same county","27,132,847","±160,345","8.6%","±0.1"
"            Different county","17,404,526","±68,278","5.5%","±0.1"
"                Same state","10,122,178","±51,137","3.2%","±0.1"
"                Different state","7,282,348","±36,162","2.3%","±0.1"
"        Abroad","2,012,732","±15,831","0.6%","±0.1"
"PLACE OF BIRTH","","","",""
