"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","",""
"    Total households","116,211,092","±230,463","116,211,092","(X)"
"        Family households (families)","76,958,064","±211,732","66.2%","±0.1"
"            With own children under 18 years","33,917,911","±174,912","29.2%","±0.1"
"            Married-couple family","56,270,862","±267,981","48.4%","±0.1"
"                With own children under 18 years","22,823,632","±202,088","19.6%","±0.1"
"            Male householder, no wife present, family","5,543,754","±33,627","4.8%","±0.1"
"                With own children under 18 years","2,662,944","±17,956","2.3%","±0.1"
"            Female householder, no husband present, family","15,143,448","±37,330","13.0%","±0.1"
"                With own children under 18 years","8,431,335","±23,990","7.3%","±0.1"
"        Nonfamily households","39,253,028","±36,269","33.8%","±0.1"
"            Householder living alone","32,036,772","±62,486","27.6%","±0.1"
"                65 years and over","11,569,876","±105,689","10.0%","±0.1"
"    Households with one or more people under 18 years","37,895,810","±173,812","32.6%","±0.1"
"    Households with one or more people 65 years and over","30,294,116","±97,770","26.1%","±0.1"
"    Average household size","2.63","±0.01","(X)","(X)"
"    Average family size","3.23","±0.01","(X)","(X)"
"RELATIONSHIP","","","",""
"    Population in households","306,058,480","*****","306,058,480","(X)"
"        Householder","116,211,092","±230,463","38.0%","±0.1"
"        Spouse","56,242,970","±263,850","18.4%","±0.1"
"        Child","93,459,419","±80,254","30.5%","±0.1"
"        Other relatives","22,147,046","±234,312","7.2%","±0.1"
"        Nonrelatives","17,997,953","±199,112","5.9%","±0.1"
"            Unmarried partner","6,958,557","±21,317","2.3%","±0.1"
"MARITAL STATUS","","","",""
"    Males 15 years and over","123,281,364","±5,539","123,281,364","(X)"
"        Never married","44,100,702","±153,363","35.8%","±0.1"
"        Now married, except separated","61,902,351","±236,153","50.2%","±0.2"
"        Separated","2,254,810","±19,669","1.8%","±0.1"
"        Widowed","3,166,898","±12,103","2.6%","±0.1"
"        Divorced","11,856,603","±73,244","9.6%","±0.1"
"    Females 15 years and over","129,692,771","±5,347","129,692,771","(X)"
"        Never married","38,239,034","±118,969","29.5%","±0.1"
"        Now married, except separated","60,570,863","±188,629","46.7%","±0.1"
"        Separated","3,231,201","±23,039","2.5%","±0.1"
"        Widowed","11,878,014","±23,036","9.2%","±0.1"
"        Divorced","15,773,659","±67,139","12.2%","±0.1"
"FERTILITY","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","4,087,727","±21,241","4,087,727","(X)"
"        Unmarried women (widowed, divorced, and never married)","1,454,477","±10,764","35.6%","±0.3"
"            Per 1,000 unmarried women","35","±1","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","54","±1","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","21","±1","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","95","±1","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","25","±1","(X)","(X)"
"GRANDPARENTS","","","",""
"    Number of grandparents living with own grandchildren under 18 years","7,138,514","±30,722","7,138,514","(X)"
"        Responsible for grandchildren","2,715,879","±13,742","38.0%","±0.2"
"        Years responsible for grandchildren","","","",""
"            Less than 1 year","570,800","±7,052","8.0%","±0.1"
"            1 or 2 years","629,263","±6,426","8.8%","±0.1"
"            3 or 4 years","452,218","±5,553","6.3%","±0.1"
"            5 or more years","1,063,598","±8,376","14.9%","±0.1"
