"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","",""
"    Total households","118,825,921","±229,026","118,825,921","(X)"
"        Family households (families)","78,298,703","±221,073","65.9%","±0.1"
"            With own children of the householder under 18 years","33,552,189","±178,743","28.2%","±0.1"
"        Married-couple family","57,459,352","±285,893","48.4%","±0.1"
"            With own children of the householder under 18 years","22,749,939","±205,770","19.1%","±0.1"
"        Male householder, no wife present, family","5,747,150","±34,164","4.8%","±0.1"
"            With own children of the householder under 18 years","2,711,819","±15,427","2.3%","±0.1"
"        Female householder, no husband present, family","15,092,201","±43,722","12.7%","±0.1"
"            With own children of the householder under 18 years","8,090,431","±25,377","6.8%","±0.1"
"        Nonfamily households","40,527,218","±36,057","34.1%","±0.1"
"            Householder living alone","32,863,560","±48,354","27.7%","±0.1"
"                65 years and over","12,510,531","±97,782","10.5%","±0.1"
"        Households with one or more people under 18 years","37,676,388","±176,808","31.7%","±0.1"
"        Households with one or more people 65 years and over","33,348,891","±91,404","28.1%","±0.1"
"        Average household size","2.63","±0.01","(X)","(X)"
"        Average family size","3.24","±0.01","(X)","(X)"
"RELATIONSHIP","","","",""
"    Population in households","312,916,765","*****","312,916,765","(X)"
"        Householder","118,825,921","±229,026","38.0%","±0.1"
"        Spouse","57,431,512","±282,400","18.4%","±0.1"
"        Child","94,523,589","±99,074","30.2%","±0.1"
"        Other relatives","23,057,999","±238,743","7.4%","±0.1"
"        Nonrelatives","19,077,744","±189,590","6.1%","±0.1"
"            Unmarried partner","7,274,830","±19,071","2.3%","±0.1"
"MARITAL STATUS","","","",""
"    Males 15 years and over","126,850,422","±6,249","126,850,422","(X)"
"        Never married","46,030,989","±170,905","36.3%","±0.1"
"        Now married, except separated","63,278,073","±255,420","49.9%","±0.2"
"        Separated","2,171,609","±18,867","1.7%","±0.1"
"        Widowed","3,299,927","±11,018","2.6%","±0.1"
"        Divorced","12,069,824","±71,773","9.5%","±0.1"
"    Females 15 years and over","133,142,237","±5,549","133,142,237","(X)"
"        Never married","40,056,147","±130,454","30.1%","±0.1"
"        Now married, except separated","61,992,726","±214,198","46.6%","±0.2"
"        Separated","3,086,556","±25,965","2.3%","±0.1"
"        Widowed","11,864,395","±19,677","8.9%","±0.1"
"        Divorced","16,142,413","±64,752","12.1%","±0.1"
"FERTILITY","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","3,994,223","±20,838","3,994,223","(X)"
"        Unmarried women (widowed, divorced, and never married)","1,384,865","±11,001","34.7%","±0.3"
"            Per 1,000 unmarried women","33","±1","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","52","±1","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","15","±1","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","91","±1","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","26","±1","(X)","(X)"
"GRANDPARENTS","","","",""
"    Number of grandparents living with own grandchildren under 18 years","7,269,685","±33,973","7,269,685","(X)"
"        Grandparents responsible for grandchildren","2,582,410","±14,581","35.5%","±0.1"
"        Years responsible for grandchildren","","","",""
"            Less than 1 year","503,900","±7,074","6.9%","±0.1"
"            1 or 2 years","566,764","±7,209","7.8%","±0.1"
"            3 or 4 years","426,700","±5,091","5.9%","±0.1"
"            5 or more years","1,085,046","±8,407","14.9%","±0.1"
"    Number of grandparents responsible for own grandchildren under 18 years","2,582,410","±14,581","2,582,410","(X)"
"        Who are female","1,616,343","±10,357","62.6%","±0.2"
"        Who are married","1,797,415","±12,138","69.6%","±0.3"
"SCHOOL ENROLLMENT","","","",""
"    Population 3 years and over enrolled in school","81,751,797","±80,348","81,751,797","(X)"
"        Nursery school, preschool","4,934,251","±23,105","6.0%","±0.1"
"        Kindergarten","4,136,743","±16,074","5.1%","±0.1"
"        Elementary school (grades 1-8)","32,831,258","±24,598","40.2%","±0.1"
"        High school (grades 9-12)","17,001,421","±17,479","20.8%","±0.1"
"        College or graduate school","22,848,124","±65,373","27.9%","±0.1"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 years and over","216,271,644","±15,647","216,271,644","(X)"
"        Less than 9th grade","11,759,554","±62,524","5.4%","±0.1"
"        9th to 12th grade, no diploma","15,677,560","±71,415","7.2%","±0.1"
"        High school graduate (includes equivalency)","59,093,612","±208,321","27.3%","±0.1"
"        Some college, no degree","44,935,834","±45,389","20.8%","±0.1"
"        Associate's degree","17,917,481","±47,238","8.3%","±0.1"
"        Bachelor's degree","41,377,068","±151,706","19.1%","±0.1"
"        Graduate or professional degree","25,510,535","±161,591","11.8%","±0.1"
"        Percent high school graduate or higher","(X)","(X)","87.3%","±0.1"
"        Percent bachelor's degree or higher","(X)","(X)","30.9%","±0.1"
"VETERAN STATUS","","","",""
"    Civilian population 18 years and over","246,379,319","±7,026","246,379,319","(X)"
"        Civilian veterans","18,939,219","±40,490","7.7%","±0.1"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","",""
"    Total Civilian Noninstitutionalized Population","316,027,641","±10,148","316,027,641","(X)"
"        With a disability","39,792,082","±62,060","12.6%","±0.1"
"    Under 18 years","73,463,859","±7,369","73,463,859","(X)"
"        With a disability","3,054,559","±14,272","4.2%","±0.1"
"    18 to 64 years","196,138,799","±9,319","196,138,799","(X)"
"        With a disability","20,276,199","±47,126","10.3%","±0.1"
"    65 years and over","46,424,983","±5,238","46,424,983","(X)"
"        With a disability","16,461,324","±26,917","35.5%","±0.1"
"RESIDENCE 1 YEAR AGO","","","",""
"    Population 1 year and over","317,248,555","±13,812","317,248,555","(X)"
"        Same house","270,854,872","±198,355","85.4%","±0.1"
"        Different house in the U.S.","44,319,586","±192,877","14.0%","±0.1"
"            Same county","26,717,038","±141,098","8.4%","±0.1"
"            Different county","17,602,548","±68,260","5.5%","±0.1"
"                Same state","10,247,779","±46,126","3.2%","±0.1"
"                Different state","7,354,769","±34,903","2.3%","±0.1"
"        Abroad","2,074,097","±16,486","0.7%","±0.1"
"PLACE OF BIRTH","","","",""
"    Total population","321,004,407","*****","321,004,407","(X)"
"        Native","277,976,280","±123,808","86.6%","±0.1"
"            Born in United States","273,082,894","±114,590","85.1%","±0.1"
"                State of residence","187,762,476","±63,267","58.5%","±0.1"
"                Different state","85,320,418","±107,373","26.6%","±0.1"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","4,893,386","±20,169","1.5%","±0.1"
"        Foreign born","43,028,127","±123,858","13.4%","±0.1"
"U.S. CITIZENSHIP STATUS","","","",""
"    Foreign-born population","43,028,127","±123,858","43,028,127","(X)"
"        Naturalized U.S. citizen","20,690,362","±32,310","48.1%","±0.2"
"        Not a U.S. citizen","22,337,765","±129,209","51.9%","±0.2"
"YEAR OF ENTRY","","","",""
"    Population born outside the United States","47,921,513","±114,640","47,921,513","(X)"
"        Native","4,893,386","±20,169","4,893,386","(X)"
"            Entered 2010 or later","740,536","±8,629","15.1%","±0.2"
"            Entered before 2010","4,152,850","±18,244","84.9%","±0.2"
"        Foreign born","43,028,127","±123,858","43,028,127","(X)"
"            Entered 2010 or later","6,635,383","±39,036","15.4%","±0.1"
"            Entered before 2010","36,392,744","±94,747","84.6%","±0.1"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","",""
"    Foreign-born population, excluding population born at sea","43,027,453","±123,851","43,027,453","(X)"
"        Europe","4,794,619","±18,696","11.1%","±0.1"
"        Asia","13,113,834","±39,761","30.5%","±0.1"
"        Africa","2,037,497","±17,657","4.7%","±0.1"
"        Oceania","246,665","±4,665","0.6%","±0.1"
"        Latin America","22,009,271","±80,314","51.2%","±0.1"
"        Northern America","825,567","±6,351","1.9%","±0.1"
"LANGUAGE SPOKEN AT HOME","","","",""
"    Population 5 years and over","301,150,892","±3,777","301,150,892","(X)"
"        English only","236,929,699","±184,625","78.7%","±0.1"
"        Language other than English","64,221,193","±182,257","21.3%","±0.1"
"            Speak English less than ""very well""","25,654,421","±90,643","8.5%","±0.1"
"        Spanish","39,769,281","±111,096","13.2%","±0.1"
"            Speak English less than ""very well""","16,357,882","±60,449","5.4%","±0.1"
"        Other Indo-European languages","10,907,675","±47,458","3.6%","±0.1"
"            Speak English less than ""very well""","3,434,722","±23,903","1.1%","±0.1"
"        Asian and Pacific Islander languages","10,409,087","±21,964","3.5%","±0.1"
"            Speak English less than ""very well""","4,894,253","±17,671","1.6%","±0.1"
"        Other languages","3,135,150","±30,121","1.0%","±0.1"
"            Speak English less than ""very well""","967,564","±11,818","0.3%","±0.1"
"ANCESTRY","","","",""
"    Total population","321,004,407","*****","321,004,407","(X)"
"        American","21,227,906","±54,727","6.6%","±0.1"
"        Arab","1,920,562","±26,249","0.6%","±0.1"
"        Czech","1,410,576","±9,770","0.4%","±0.1"
"        Danish","1,294,689","±10,692","0.4%","±0.1"
"        Dutch","4,121,110","±18,904","1.3%","±0.1"
"        English","23,977,180","±66,691","7.5%","±0.1"
"        French (except Basque)","7,997,196","±25,452","2.5%","±0.1"
"        French Canadian","2,109,242","±15,474","0.7%","±0.1"
"        German","45,153,215","±58,492","14.1%","±0.1"
"        Greek","1,272,806","±10,222","0.4%","±0.1"
"        Hungarian","1,414,423","±11,561","0.4%","±0.1"
"        Irish","32,562,619","±58,321","10.1%","±0.1"
"        Italian","17,063,646","±44,521","5.3%","±0.1"
"        Lithuanian","638,018","±7,220","0.2%","±0.1"
"        Norwegian","4,426,556","±24,460","1.4%","±0.1"
"        Polish","9,265,548","±34,905","2.9%","±0.1"
"        Portuguese","1,363,703","±11,135","0.4%","±0.1"
"        Russian","2,741,864","±15,230","0.9%","±0.1"
"        Scotch-Irish","3,032,134","±16,314","0.9%","±0.1"
"        Scottish","5,460,745","±22,940","1.7%","±0.1"
"        Slovak","700,474","±7,312","0.2%","±0.1"
"        Subsaharan African","3,402,702","±33,608","1.1%","±0.1"
"        Swedish","3,847,046","±17,303","1.2%","±0.1"
"        Swiss","933,084","±9,341","0.3%","±0.1"
"        Ukrainian","995,653","±9,800","0.3%","±0.1"
"        Welsh","1,805,508","±10,904","0.6%","±0.1"
"        West Indian (excluding Hispanic origin groups)","2,932,377","±19,934","0.9%","±0.1"
"COMPUTERS AND INTERNET USE","","","",""
"    Total households","118,825,921","±229,026","118,825,921","(X)"
"        With a computer","103,614,074","±267,616","87.2%","±0.1"
"        With a broadband Internet subscription","92,813,615","±318,573","78.1%","±0.1"
