"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","",""
"    Total households","116,926,305","±226,951","116,926,305","(X)"
"        Family households (families)","77,260,546","±214,164","66.1%","±0.1"
"            With own children of the householder under 18 years","33,732,757","±169,985","28.8%","±0.1"
"            Married-couple family","56,478,631","±274,575","48.3%","±0.1"
"                With own children of the householder under 18 years","22,693,259","±197,519","19.4%","±0.1"
"            Male householder, no wife present, family","5,612,732","±34,093","4.8%","±0.1"
"                With own children of the householder under 18 years","2,687,418","±17,913","2.3%","±0.1"
"            Female householder, no husband present, family","15,169,183","±39,701","13.0%","±0.1"
"                With own children of the householder under 18 years","8,352,080","±27,216","7.1%","±0.1"
"        Nonfamily households","39,665,759","±38,755","33.9%","±0.1"
"            Householder living alone","32,316,130","±56,489","27.6%","±0.1"
"                65 years and over","11,857,879","±99,379","10.1%","±0.1"
"    Households with one or more people under 18 years","37,763,335","±168,422","32.3%","±0.1"
"    Households with one or more people 65 years and over","31,226,497","±95,896","26.7%","±0.1"
"    Average household size","2.64","±0.01","(X)","(X)"
"    Average family size","3.24","±0.01","(X)","(X)"
"RELATIONSHIP","","","",""
"    Population in households","308,459,400","*****","308,459,400","(X)"
"        Householder","116,926,305","±226,951","37.9%","±0.1"
"        Spouse","56,450,447","±270,876","18.3%","±0.1"
"        Child","94,086,089","±85,982","30.5%","±0.1"
"        Other relatives","22,559,873","±234,078","7.3%","±0.1"
"        Nonrelatives","18,436,686","±196,368","6.0%","±0.1"
"            Unmarried partner","7,072,213","±21,172","2.3%","±0.1"
"MARITAL STATUS","","","",""
"    Males 15 years and over","124,526,547","±5,895","124,526,547","(X)"
"        Never married","44,876,643","±157,267","36.0%","±0.1"
"        Now married, except separated","62,216,826","±240,977","50.0%","±0.2"
"        Separated","2,241,793","±19,685","1.8%","±0.1"
"        Widowed","3,203,987","±11,078","2.6%","±0.1"
"        Divorced","11,987,298","±70,356","9.6%","±0.1"
"    Females 15 years and over","130,894,688","±6,228","130,894,688","(X)"
"        Never married","38,972,218","±124,060","29.8%","±0.1"
"        Now married, except separated","60,843,161","±201,524","46.5%","±0.2"
"        Separated","3,211,695","±25,613","2.5%","±0.1"
"        Widowed","11,882,385","±20,704","9.1%","±0.1"
"        Divorced","15,985,229","±65,916","12.2%","±0.1"
"FERTILITY","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","4,035,432","±19,400","4,035,432","(X)"
"        Unmarried women (widowed, divorced, and never married)","1,432,142","±11,480","35.5%","±0.3"
"            Per 1,000 unmarried women","34","±1","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","53","±1","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","19","±1","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","93","±1","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","25","±1","(X)","(X)"
"GRANDPARENTS","","","",""
"    Number of grandparents living with own grandchildren under 18 years","7,203,712","±30,020","7,203,712","(X)"
"        Grandparents responsible for grandchildren","2,685,185","±11,858","37.3%","±0.1"
"        Years responsible for grandchildren","","","",""
"            Less than 1 year","551,665","±6,858","7.7%","±0.1"
"            1 or 2 years","603,334","±5,502","8.4%","±0.1"
"            3 or 4 years","447,394","±5,362","6.2%","±0.1"
"            5 or more years","1,082,792","±8,433","15.0%","±0.1"
