"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","",""
"    Total households","114,761,359","±251,732","114,761,359","(X)"
"    Family households (families)","76,507,230","±233,809","66.7%","±0.1"
"        With own children under 18 years","34,784,394","±194,189","30.3%","±0.1"
"        Married-couple family","56,624,086","±295,387","49.3%","±0.2"
"            With own children under 18 years","23,784,248","±224,691","20.7%","±0.2"
"        Male householder, no wife present, family","5,276,790","±30,857","4.6%","±0.1"
"            With own children under 18 years","2,566,689","±16,543","2.2%","±0.1"
"        Female householder, no husband present, family","14,606,354","±45,108","12.7%","±0.1"
"            With own children under 18 years","8,433,457","±29,529","7.3%","±0.1"
"    Nonfamily households","38,254,129","±44,530","33.3%","±0.1"
"        Householder living alone","31,326,617","±71,469","27.3%","±0.1"
"            65 years and over","10,852,066","±115,944","9.5%","±0.1"
"    Households with one or more people under 18 years","38,578,982","±191,227","33.6%","±0.1"
"    Households with one or more people 65 years and over","27,969,594","±102,643","24.4%","±0.1"
"    Average household size","2.60","±0.01","(X)","(X)"
"    Average family size","3.19","±0.01","(X)","(X)"
"RELATIONSHIP","","","",""
"    Population in households","298,597,548","*****","298,597,548","(X)"
"    Householder","114,761,359","±251,664","38.4%","±0.1"
"    Spouse","56,590,678","±286,471","19.0%","±0.1"
"    Child","90,786,036","±88,765","30.4%","±0.1"
"    Other relatives","20,034,881","±249,812","6.7%","±0.1"
"    Nonrelatives","16,424,594","±212,694","5.5%","±0.1"
"        Unmarried partner","6,565,549","±18,170","2.2%","±0.1"
"MARITAL STATUS","","","",""
"    Males 15 years and over","119,550,497","±7,256","119,550,497","(X)"
"    Never married","41,414,163","±168,211","34.6%","±0.1"
"    Now married, except separated","61,813,577","±256,589","51.7%","±0.2"
"    Separated","2,163,466","±21,428","1.8%","±0.1"
"    Widowed","3,013,295","±12,194","2.5%","±0.1"
"    Divorced","11,145,996","±76,006","9.3%","±0.1"
"    Females 15 years and over","126,044,280","±6,396","126,044,280","(X)"
"    Never married","35,707,687","±127,446","28.3%","±0.1"
"    Now married, except separated","60,433,856","±208,103","47.9%","±0.2"
"    Separated","3,144,890","±24,644","2.5%","±0.1"
"    Widowed","11,896,896","±23,872","9.4%","±0.1"
"    Divorced","14,860,951","±76,521","11.8%","±0.1"
"FERTILITY","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","4,295,187","±25,094","4,295,187","(X)"
"    Unmarried women (widowed, divorced, and never married)","1,480,521","±11,362","34.5%","±0.3"
"        Per 1,000 unmarried women","37","±1","(X)","(X)"
"    Per 1,000 women 15 to 50 years old","56","±1","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","27","±1","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","102","±1","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","25","±1","(X)","(X)"
"GRANDPARENTS","","","",""
"    Number of grandparents living with own grandchildren under 18 years","6,663,614","±33,533","6,663,614","(X)"
"    Responsible for grandchildren","2,687,216","±13,425","40.3%","±0.2"
"        Years responsible for grandchildren","","","",""
"            Less than 1 year","601,460","±7,341","9.0%","±0.1"
"            1 or 2 years","642,301","±6,333","9.6%","±0.1"
"            3 or 4 years","444,155","±4,916","6.7%","±0.1"
"            5 or more years","999,300","±8,148","15.0%","±0.1"
"    Number of grandparents responsible for own grandchildren under 18 years","2,687,216","±13,425","2,687,216","(X)"
"    Who are female","1,683,410","±8,002","62.6%","±0.2"
"    Who are married","1,900,910","±12,794","70.7%","±0.2"
"SCHOOL ENROLLMENT","","","",""
"    Population 3 years and over enrolled in school","81,677,036","±93,175","81,677,036","(X)"
"    Nursery school, preschool","4,972,287","±29,950","6.1%","±0.1"
"    Kindergarten","4,143,438","±14,751","5.1%","±0.1"
"    Elementary school (grades 1-8)","32,654,500","±25,257","40.0%","±0.1"
"    High school (grades 9-12)","17,431,218","±18,147","21.3%","±0.1"
"    College or graduate school","22,475,593","±67,444","27.5%","±0.1"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 years and over","202,048,123","±16,972","202,048,123","(X)"
"    Less than 9th grade","12,397,019","±64,052","6.1%","±0.1"
"    9th to 12th grade, no diploma","17,121,916","±64,311","8.5%","±0.1"
"    High school graduate (includes equivalency)","57,861,283","±169,189","28.6%","±0.1"
"    Some college, no degree","42,350,233","±45,250","21.0%","±0.1"
"    Associate's degree","15,344,048","±38,136","7.6%","±0.1"
"    Bachelor's degree","35,852,277","±131,432","17.7%","±0.1"
"    Graduate or professional degree","21,121,347","±128,157","10.5%","±0.1"
"    Percent high school graduate or higher","(X)","(X)","85.4%","±0.1"
"    Percent bachelor's degree or higher","(X)","(X)","28.2%","±0.1"
"VETERAN STATUS","","","",""
"    Civilian population 18 years and over","231,421,987","±7,945","231,421,987","(X)"
"    Civilian veterans","22,215,303","±31,052","9.6%","±0.1"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","",""
"    Total Civilian Noninstitutionalized Population","(X)","(X)","(X)","(X)"
"    With a disability","(X)","(X)","(X)","(X)"
"    Under 18 years","(X)","(X)","(X)","(X)"
"    With a disability","(X)","(X)","(X)","(X)"
"    18 to 64 years","(X)","(X)","(X)","(X)"
"    With a disability","(X)","(X)","(X)","(X)"
"    65 years and over","(X)","(X)","(X)","(X)"
"    With a disability","(X)","(X)","(X)","(X)"
"RESIDENCE 1 YEAR AGO","","","",""
"    Population 1 year and over","302,754,921","±13,499","302,754,921","(X)"
"    Same house","256,096,024","±302,026","84.6%","±0.1"
"    Different house in the U.S.","44,835,757","±293,351","14.8%","±0.1"
"        Same county","28,025,830","±214,675","9.3%","±0.1"
"        Different county","16,809,927","±91,888","5.6%","±0.1"
"            Same state","9,728,252","±60,900","3.2%","±0.1"
"            Different state","7,081,675","±41,342","2.3%","±0.1"
"    Abroad","1,823,140","±17,059","0.6%","±0.1"
"PLACE OF BIRTH","","","",""
"    Total population","306,603,772","*****","306,603,772","(X)"
"    Native","267,334,934","±113,167","87.2%","±0.1"
"        Born in United States","263,182,652","±108,307","85.8%","±0.1"
"            State of residence","179,872,457","±82,136","58.7%","±0.1"
"            Different state","83,310,195","±78,412","27.2%","±0.1"
"        Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","4,152,282","±17,705","1.4%","±0.1"
"    Foreign born","39,268,838","±113,205","12.8%","±0.1"
"U.S. CITIZENSHIP STATUS","","","",""
"    Foreign-born population","39,268,838","±113,205","39,268,838","(X)"
"    Naturalized U.S. citizen","17,150,684","±34,448","43.7%","±0.2"
"    Not a U.S. citizen","22,118,154","±122,109","56.3%","±0.2"
"YEAR OF ENTRY","","","",""
"    Population born outside the United States","43,421,120","±108,346","43,421,120","(X)"
"    Native","4,152,282","±17,705","4,152,282","(X)"
"    Entered 2000 or later","899,722","±9,707","21.7%","±0.2"
"    Entered before 2000","3,252,560","±14,562","78.3%","±0.2"
"    Foreign born","39,268,838","±113,205","39,268,838","(X)"
"    Entered 2000 or later","12,638,132","±75,599","32.2%","±0.1"
"    Entered before 2000","26,630,706","±54,048","67.8%","±0.1"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","",""
"    Foreign-born population, excluding population born at sea","39,268,670","±113,217","39,268,670","(X)"
"    Europe","4,844,769","±22,937","12.3%","±0.1"
"    Asia","11,027,803","±38,164","28.1%","±0.1"
"    Africa","1,520,614","±12,370","3.9%","±0.1"
"    Oceania","220,854","±4,634","0.6%","±0.1"
"    Latin America","20,830,153","±69,484","53.0%","±0.1"
"    Northern America","824,477","±7,047","2.1%","±0.1"
"LANGUAGE SPOKEN AT HOME","","","",""
"    Population 5 years and over","286,433,395","±3,860","286,433,395","(X)"
"    English only","228,216,716","±110,799","79.7%","±0.1"
"    Language other than English","58,216,679","±108,708","20.3%","±0.1"
"        Speak English less than ""very well""","24,950,788","±65,420","8.7%","±0.1"
"        Spanish","36,170,544","±60,905","12.6%","±0.1"
"            Speak English less than ""very well""","16,433,118","±39,695","5.7%","±0.1"
"        Other Indo-European languages","10,529,052","±41,021","3.7%","±0.1"
"            Speak English less than ""very well""","3,394,672","±25,165","1.2%","±0.1"
"        Asian and Pacific Islander languages","9,111,546","±27,811","3.2%","±0.1"
"            Speak English less than ""very well""","4,386,513","±19,347","1.5%","±0.1"
"        Other languages","2,405,537","±18,224","0.8%","±0.1"
"            Speak English less than ""very well""","736,485","±8,494","0.3%","±0.1"
"ANCESTRY","","","",""
"    Total population","306,603,772","*****","306,603,772","(X)"
"    American","19,911,467","±47,204","6.5%","±0.1"
"    Arab","1,584,874","±19,442","0.5%","±0.1"
"    Czech","1,569,839","±11,579","0.5%","±0.1"
"    Danish","1,420,962","±10,652","0.5%","±0.1"
"    Dutch","4,809,836","±18,659","1.6%","±0.1"
"    English","26,922,124","±63,419","8.8%","±0.1"
"    French (except Basque)","9,135,933","±27,416","3.0%","±0.1"
"    French Canadian","2,087,970","±15,579","0.7%","±0.1"
"    German","49,202,203","±62,120","16.0%","±0.1"
"    Greek","1,319,128","±11,205","0.4%","±0.1"
"    Hungarian","1,511,839","±10,555","0.5%","±0.1"
