"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","",""
"    Total households","119,730,128","±232,429","119,730,128","(X)"
"        Family households (families)","78,697,103","±218,118","65.7%","±0.1"
"            With own children of the householder under 18 years","33,435,099","±176,525","27.9%","±0.1"
"        Married-couple family","57,816,948","±279,599","48.3%","±0.1"
"            With own children of the householder under 18 years","22,740,426","±202,033","19.0%","±0.1"
"        Male householder, no wife present, family","5,821,975","±35,032","4.9%","±0.1"
"            With own children of the householder under 18 years","2,729,342","±17,774","2.3%","±0.1"
"        Female householder, no husband present, family","15,058,180","±39,767","12.6%","±0.1"
"            With own children of the householder under 18 years","7,965,331","±23,604","6.7%","±0.1"
"        Nonfamily households","41,033,025","±37,161","34.3%","±0.1"
"            Householder living alone","33,212,256","±50,368","27.7%","±0.1"
"                65 years and over","12,868,890","±97,467","10.7%","±0.1"
"        Households with one or more people under 18 years","37,574,321","±175,482","31.4%","±0.1"
"        Households with one or more people 65 years and over","34,395,751","±92,200","28.7%","±0.1"
"        Average household size","2.63","±0.01","(X)","(X)"
"        Average family size","3.23","±0.01","(X)","(X)"
"RELATIONSHIP","","","",""
"    Population in households","314,810,420","*****","314,810,420","(X)"
"        Householder","119,730,128","±232,429","38.0%","±0.1"
"        Spouse","57,786,597","±282,339","18.4%","±0.1"
"        Child","94,752,675","±104,640","30.1%","±0.1"
"        Other relatives","23,208,045","±241,061","7.4%","±0.1"
"        Nonrelatives","19,332,975","±182,968","6.1%","±0.1"
"            Unmarried partner","7,423,802","±18,922","2.4%","±0.1"
"MARITAL STATUS","","","",""
"    Males 15 years and over","127,835,362","±5,908","127,835,362","(X)"
"        Never married","46,550,321","±171,968","36.4%","±0.1"
"        Now married, except separated","63,655,168","±253,446","49.8%","±0.2"
"        Separated","2,134,141","±18,003","1.7%","±0.1"
"        Widowed","3,345,887","±9,196","2.6%","±0.1"
"        Divorced","12,149,845","±67,876","9.5%","±0.1"
"    Females 15 years and over","134,101,905","±6,160","134,101,905","(X)"
"        Never married","40,558,230","±132,414","30.2%","±0.1"
"        Now married, except separated","62,388,657","±208,715","46.5%","±0.2"
"        Separated","3,020,721","±24,753","2.3%","±0.1"
"        Widowed","11,867,049","±20,878","8.8%","±0.1"
"        Divorced","16,267,248","±59,012","12.1%","±0.1"
"FERTILITY","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","3,995,512","±23,123","3,995,512","(X)"
"        Unmarried women (widowed, divorced, and never married)","1,370,441","±11,091","34.3%","±0.3"
"            Per 1,000 unmarried women","32","±1","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","52","±1","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","14","±1","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","90","±1","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","27","±1","(X)","(X)"
"GRANDPARENTS","","","",""
"    Number of grandparents living with own grandchildren under 18 years","7,249,122","±32,146","7,249,122","(X)"
"        Grandparents responsible for grandchildren","2,520,926","±14,234","34.8%","±0.2"
"        Years responsible for grandchildren","","","",""
"            Less than 1 year","481,444","±6,151","6.6%","±0.1"
"            1 or 2 years","542,064","±6,263","7.5%","±0.1"
"            3 or 4 years","410,809","±4,641","5.7%","±0.1"
"            5 or more years","1,086,609","±10,647","15.0%","±0.1"
"    Number of grandparents responsible for own grandchildren under 18 years","2,520,926","±14,234","2,520,926","(X)"
"        Who are female","1,582,109","±9,734","62.8%","±0.1"
"        Who are married","1,742,526","±12,018","69.1%","±0.2"
"SCHOOL ENROLLMENT","","","",""
"    Population 3 years and over enrolled in school","81,415,106","±82,018","81,415,106","(X)"
"        Nursery school, preschool","4,947,516","±24,944","6.1%","±0.1"
"        Kindergarten","4,083,735","±16,367","5.0%","±0.1"
"        Elementary school (grades 1-8)","32,807,983","±27,417","40.3%","±0.1"
"        High school (grades 9-12)","17,004,975","±14,722","20.9%","±0.1"
"        College or graduate school","22,570,897","±67,059","27.7%","±0.1"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 years and over","218,446,071","±16,291","218,446,071","(X)"
"        Less than 9th grade","11,521,575","±64,818","5.3%","±0.1"
"        9th to 12th grade, no diploma","15,426,482","±78,548","7.1%","±0.1"
"        High school graduate (includes equivalency)","59,265,308","±210,453","27.1%","±0.1"
"        Some college, no degree","45,027,332","±46,907","20.6%","±0.1"
"        Associate's degree","18,338,323","±52,953","8.4%","±0.1"
"        Bachelor's degree","42,470,927","±154,580","19.4%","±0.1"
"        Graduate or professional degree","26,396,124","±168,502","12.1%","±0.1"
"        High school graduate or higher","191,498,014","±151,311","87.7%","±0.1"
"        Bachelor's degree or higher","68,867,051","±316,231","31.5%","±0.1"
"VETERAN STATUS","","","",""
"    Civilian population 18 years and over","248,322,822","±7,049","248,322,822","(X)"
"        Civilian veterans","18,611,432","±41,547","7.5%","±0.1"
