"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","",""
"    Total households","117,259,427","±146,938","117,259,427","(X)"
"        Family households (families)","77,152,072","±126,112","65.8%","±0.1"
"            With own children under 18 years","33,106,587","±79,012","28.2%","±0.1"
"            Married-couple family","56,114,671","±141,256","47.9%","±0.1"
"                With own children under 18 years","22,112,890","±74,556","18.9%","±0.1"
"            Male householder, no wife present, family","5,765,116","±37,820","4.9%","±0.1"
"                With own children under 18 years","2,736,649","±27,623","2.3%","±0.1"
"            Female householder, no husband present, family","15,272,285","±55,179","13.0%","±0.1"
"                With own children under 18 years","8,257,048","±49,289","7.0%","±0.1"
"        Nonfamily households","40,107,355","±83,075","34.2%","±0.1"
"            Householder living alone","32,593,690","±89,633","27.8%","±0.1"
"                65 years and over","12,122,226","±42,914","10.3%","±0.1"
"    Households with one or more people under 18 years","37,210,297","±82,723","31.7%","±0.1"
"    Households with one or more people 65 years and over","32,235,635","±56,055","27.5%","±0.1"
"    Average household size","2.65","±0.01","(X)","(X)"
"    Average family size","3.26","±0.01","(X)","(X)"
"RELATIONSHIP","","","",""
"    Population in households","310,792,895","*****","310,792,895","(X)"
"        Householder","117,259,427","±146,938","37.7%","±0.1"
"        Spouse","56,098,929","±139,521","18.1%","±0.1"
"        Child","94,700,109","±138,646","30.5%","±0.1"
"        Other relatives","23,664,639","±129,431","7.6%","±0.1"
"        Nonrelatives","19,069,791","±131,070","6.1%","±0.1"
"            Unmarried partner","7,189,875","±42,810","2.3%","±0.1"
"MARITAL STATUS","","","",""
"    Males 15 years and over","125,664,923","±29,984","125,664,923","(X)"
"        Never married","45,864,923","±84,616","36.5%","±0.1"
"        Now married, except separated","62,145,265","±124,291","49.5%","±0.1"
"        Separated","2,248,853","±27,347","1.8%","±0.1"
"        Widowed","3,250,724","±28,334","2.6%","±0.1"
"        Divorced","12,155,158","±55,169","9.7%","±0.1"
"    Females 15 years and over","132,105,747","±26,097","132,105,747","(X)"
"        Never married","39,943,973","±76,586","30.2%","±0.1"
"        Now married, except separated","60,860,754","±118,575","46.1%","±0.1"
"        Separated","3,180,055","±31,556","2.4%","±0.1"
"        Widowed","11,870,145","±46,223","9.0%","±0.1"
"        Divorced","16,250,820","±59,739","12.3%","±0.1"
"FERTILITY","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","3,946,228","±34,365","3,946,228","(X)"
"        Unmarried women (widowed, divorced, and never married)","1,411,349","±23,256","35.8%","±0.5"
"            Per 1,000 unmarried women","33","±1","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","52","±1","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","17","±1","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","91","±1","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","24","±1","(X)","(X)"
"GRANDPARENTS","","","",""
"    Number of grandparents living with own grandchildren under 18 years","7,237,432","±64,535","7,237,432","(X)"
"        Responsible for grandchildren","2,631,546","±36,300","36.4%","±0.4"
"        Years responsible for grandchildren","","","",""
"            Less than 1 year","527,053","±14,164","7.3%","±0.2"
"            1 or 2 years","573,050","±15,202","7.9%","±0.2"
"            3 or 4 years","430,316","±13,534","5.9%","±0.2"
"            5 or more years","1,101,127","±21,745","15.2%","±0.3"
"    Number of grandparents responsible for own grandchildren under 18 years","2,631,546","±36,300","2,631,546","(X)"
"        Who are female","1,635,984","±21,255","62.2%","±0.3"
"        Who are married","1,842,816","±31,769","70.0%","±0.5"
"SCHOOL ENROLLMENT","","","",""
"    Population 3 years and over enrolled in school","82,063,714","±75,312","82,063,714","(X)"
"        Nursery school, preschool","4,884,849","±32,887","6.0%","±0.1"
"        Kindergarten","4,201,566","±32,743","5.1%","±0.1"
"        Elementary school (grades 1-8)","32,974,291","±55,402","40.2%","±0.1"
"        High school (grades 9-12)","17,008,157","±42,830","20.7%","±0.1"
"        College or graduate school","22,994,851","±67,071","28.0%","±0.1"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 years and over","213,725,624","±64,850","213,725,624","(X)"
"        Less than 9th grade","12,063,864","±68,817","5.6%","±0.1"
"        9th to 12th grade, no diploma","15,928,170","±76,413","7.5%","±0.1"
"        High school graduate (includes equivalency)","59,249,552","±115,346","27.7%","±0.1"
"        Some college, no degree","44,799,481","±99,350","21.0%","±0.1"
"        Associate's degree","17,429,531","±72,024","8.2%","±0.1"
"        Bachelor's degree","39,864,014","±108,755","18.7%","±0.1"
"        Graduate or professional degree","24,391,012","±101,865","11.4%","±0.1"
"    Percent high school graduate or higher","(X)","(X)","86.9%","±0.1"
"    Percent bachelor's degree or higher","(X)","(X)","30.1%","±0.1"
"VETERAN STATUS","","","",""
"    Civilian population 18 years and over","244,298,660","±33,803","244,298,660","(X)"
"        Civilian veterans","19,259,717","±63,735","7.9%","±0.1"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","",""
"    Total Civilian Noninstitutionalized Population","313,890,422","±15,867","313,890,422","(X)"
"        With a disability","39,674,679","±98,819","12.6%","±0.1"
"    Under 18 years","73,440,273","±33,510","73,440,273","(X)"
"        With a disability","3,054,030","±27,336","4.2%","±0.1"
"    18 to 64 years","195,537,213","±26,914","195,537,213","(X)"
"        With a disability","20,460,136","±79,853","10.5%","±0.1"
"    65 years and over","44,912,936","±22,154","44,912,936","(X)"
"        With a disability","16,160,513","±41,633","36.0%","±0.1"
"RESIDENCE 1 YEAR AGO","","","",""
"    Population 1 year and over","315,095,393","±26,923","315,095,393","(X)"
"        Same house","268,147,625","±208,630","85.1%","±0.1"
"        Different house in the U.S.","44,905,563","±196,990","14.3%","±0.1"
"            Same county","27,290,363","±154,540","8.7%","±0.1"
"            Different county","17,615,200","±109,300","5.6%","±0.1"
"                Same state","10,281,031","±81,593","3.3%","±0.1"
"                Different state","7,334,169","±60,012","2.3%","±0.1"
"        Abroad","2,042,205","±32,993","0.6%","±0.1"
"PLACE OF BIRTH","","","",""
"    Total population","318,857,056","*****","318,857,056","(X)"
"        Native","276,465,262","±130,122","86.7%","±0.1"
"            Born in United States","271,743,050","±126,075","85.2%","±0.1"
"                State of residence","187,149,496","±162,808","58.7%","±0.1"
"                Different state","84,593,554","±147,486","26.5%","±0.1"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","4,722,212","±47,587","1.5%","±0.1"
"        Foreign born","42,391,794","±130,122","13.3%","±0.1"
"U.S. CITIZENSHIP STATUS","","","",""
"    Foreign-born population","42,391,794","±130,122","42,391,794","(X)"
"        Naturalized U.S. citizen","19,984,738","±72,256","47.1%","±0.2"
"        Not a U.S. citizen","22,407,056","±130,473","52.9%","±0.2"
"YEAR OF ENTRY","","","",""
"    Population born outside the United States","47,114,006","±126,075","47,114,006","(X)"
"    Native","4,722,212","±47,587","4,722,212","(X)"
"        Entered 2010 or later","543,164","±18,726","11.5%","±0.4"
"        Entered before 2010","4,179,048","±41,558","88.5%","±0.4"
"    Foreign born","42,391,794","±130,122","42,391,794","(X)"
"        Entered 2010 or later","5,220,786","±54,680","12.3%","±0.1"
"        Entered before 2010","37,171,008","±106,140","87.7%","±0.1"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","",""
"    Foreign-born population, excluding population born at sea","42,390,705","±130,028","42,390,705","(X)"
"        Europe","4,764,822","±45,299","11.2%","±0.1"
"        Asia","12,750,422","±47,011","30.1%","±0.1"
"        Africa","1,931,203","±35,812","4.6%","±0.1"
"        Oceania","241,200","±8,901","0.6%","±0.1"
"        Latin America","21,890,416","±100,118","51.6%","±0.1"
"        Northern America","812,642","±16,786","1.9%","±0.1"
"LANGUAGE SPOKEN AT HOME","","","",""
"    Population 5 years and over","299,084,046","±17,395","299,084,046","(X)"
"        English only","235,905,559","±151,665","78.9%","±0.1"
"        Language other than English","63,178,487","±145,634","21.1%","±0.1"
"            Speak English less than ""very well""","25,592,758","±112,725","8.6%","±0.1"
"        Spanish","39,254,342","±97,599","13.1%","±0.1"
"            Speak English less than ""very well""","16,388,318","±88,377","5.5%","±0.1"
"        Other Indo-European languages","10,808,453","±76,817","3.6%","±0.1"
"            Speak English less than ""very well""","3,432,631","±41,116","1.1%","±0.1"
"        Asian and Pacific Islander languages","10,134,871","±59,198","3.4%","±0.1"
"            Speak English less than ""very well""","4,829,312","±38,866","1.6%","±0.1"
"        Other languages","2,980,821","±42,275","1.0%","±0.1"
"            Speak English less than ""very well""","942,497","±23,854","0.3%","±0.1"
"ANCESTRY","","","",""
"    Total population","318,857,056","*****","318,857,056","(X)"
"        American","22,097,012","±105,421","6.9%","±0.1"
"        Arab","1,927,432","±47,667","0.6%","±0.1"
"        Czech","1,419,630","±25,737","0.4%","±0.1"
"        Danish","1,275,222","±23,810","0.4%","±0.1"
"        Dutch","4,243,067","±41,499","1.3%","±0.1"
"        English","24,382,182","±116,552","7.6%","±0.1"
"        French (except Basque)","8,153,515","±54,300","2.6%","±0.1"
"        French Canadian","2,099,430","±26,420","0.7%","±0.1"
"        German","46,047,113","±117,093","14.4%","±0.1"
"        Greek","1,295,703","±24,377","0.4%","±0.1"
"        Hungarian","1,406,350","±25,202","0.4%","±0.1"
"        Irish","33,147,639","±113,140","10.4%","±0.1"
"        Italian","17,220,604","±85,550","5.4%","±0.1"
"        Lithuanian","652,790","±14,986","0.2%","±0.1"
"        Norwegian","4,444,566","±35,032","1.4%","±0.1"
"        Polish","9,249,392","±65,200","2.9%","±0.1"
"        Portuguese","1,340,026","±26,092","0.4%","±0.1"
"        Russian","2,762,830","±36,776","0.9%","±0.1"
"        Scotch-Irish","2,978,827","±33,775","0.9%","±0.1"
"        Scottish","5,365,154","±43,484","1.7%","±0.1"
"        Slovak","706,662","±16,910","0.2%","±0.1"
"        Subsaharan African","3,223,885","±52,131","1.0%","±0.1"
"        Swedish","3,887,273","±40,399","1.2%","±0.1"
"        Swiss","939,268","±18,513","0.3%","±0.1"
"        Ukrainian","984,157","±21,112","0.3%","±0.1"
