"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","",""
"    Total households","120,062,818","±161,148","120,062,818","(X)"
"        Family households (families)","78,631,163","±144,258","65.5%","±0.1"
"            With own children of the householder under 18 years","32,846,899","±79,121","27.4%","±0.1"
"            Married-couple family","57,847,574","±164,114","48.2%","±0.1"
"                With own children of the householder under 18 years","22,334,270","±78,325","18.6%","±0.1"
"            Male householder, no wife present, family","5,886,661","±42,613","4.9%","±0.1"
"                With own children of the householder under 18 years","2,723,009","±26,934","2.3%","±0.1"
"            Female householder, no husband present, family","14,896,928","±60,378","12.4%","±0.1"
"                With own children of the householder under 18 years","7,789,620","±45,691","6.5%","±0.1"
"        Nonfamily households","41,431,655","±105,291","34.5%","±0.1"
"            Householder living alone","33,513,155","±97,864","27.9%","±0.1"
"                65 years and over","12,942,049","±41,843","10.8%","±0.1"
"    Households with one or more people under 18 years","36,964,462","±79,227","30.8%","±0.1"
"    Households with one or more people 65 years and over","35,259,560","±56,803","29.4%","±0.1"
"    Average household size","2.65","±0.01","(X)","(X)"
"    Average family size","3.26","±0.01","(X)","(X)"
"RELATIONSHIP","","","",""
"    Population in households","317,631,941","*****","317,631,941","(X)"
"        Householder","120,062,818","±161,148","37.8%","±0.1"
"        Spouse","57,825,600","±162,146","18.2%","±0.1"
"        Child","95,873,515","±145,312","30.2%","±0.1"
"        Other relatives","24,130,351","±148,024","7.6%","±0.1"
"        Nonrelatives","19,739,657","±130,542","6.2%","±0.1"
"            Unmarried partner","7,386,941","±46,750","2.3%","±0.1"
"MARITAL STATUS","","","",""
"    Males 15 years and over","129,185,808","±29,246","129,185,808","(X)"
"        Never married","47,653,955","±103,635","36.9%","±0.1"
"        Now married, except separated","63,704,502","±161,605","49.3%","±0.1"
"        Separated","2,113,878","±30,764","1.6%","±0.1"
"        Widowed","3,354,154","±29,566","2.6%","±0.1"
"        Divorced","12,359,319","±58,655","9.6%","±0.1"
"    Females 15 years and over","135,511,496","±27,395","135,511,496","(X)"
"        Never married","41,441,679","±94,823","30.6%","±0.1"
"        Now married, except separated","62,822,410","±142,855","46.4%","±0.1"
"        Separated","2,993,920","±38,766","2.2%","±0.1"
"        Widowed","11,792,566","±40,045","8.7%","±0.1"
"        Divorced","16,460,921","±67,454","12.1%","±0.1"
"FERTILITY","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","3,997,394","±28,051","3,997,394","(X)"
"        Unmarried women (widowed, divorced, and never married)","1,348,315","±21,151","33.7%","±0.5"
"            Per 1,000 unmarried women","31","±1","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","52","±1","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","12","±1","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","88","±1","(X)","(X)"
