"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","",""
"    Total households","116,291,033","±141,632","116,291,033","(X)"
"        Family households (families)","76,680,463","±129,862","65.9%","±0.1"
"            With own children under 18 years","33,281,870","±75,757","28.6%","±0.1"
"            Married-couple family","55,858,808","±146,049","48.0%","±0.1"
"                With own children under 18 years","22,242,905","±78,393","19.1%","±0.1"
"            Male householder, no wife present, family","5,619,899","±38,110","4.8%","±0.1"
"                With own children under 18 years","2,660,793","±26,411","2.3%","±0.1"
"            Female householder, no husband present, family","15,201,756","±59,210","13.1%","±0.1"
"                With own children under 18 years","8,378,172","±42,298","7.2%","±0.1"
"        Nonfamily households","39,610,570","±97,239","34.1%","±0.1"
"            Householder living alone","32,242,369","±96,887","27.7%","±0.1"
"                65 years and over","11,725,373","±52,112","10.1%","±0.1"
"    Households with one or more people under 18 years","37,300,647","±70,822","32.1%","±0.1"
"    Households with one or more people 65 years and over","31,141,856","±59,312","26.8%","±0.1"
"    Average household size","2.65","±0.01","(X)","(X)"
"    Average family size","3.26","±0.01","(X)","(X)"
"RELATIONSHIP","","","",""
"    Population in households","308,099,169","*****","308,099,169","(X)"
"        Householder","116,291,033","±141,632","37.7%","±0.1"
"        Spouse","55,828,028","±142,696","18.1%","±0.1"
"        Child","94,233,742","±132,051","30.6%","±0.1"
"        Other relatives","22,938,742","±134,281","7.4%","±0.1"
"        Nonrelatives","18,807,624","±137,850","6.1%","±0.1"
"            Unmarried partner","7,077,182","±43,810","2.3%","±0.1"
"MARITAL STATUS","","","",""
"    Males 15 years and over","124,380,019","±27,638","124,380,019","(X)"
"        Never married","45,175,265","±87,709","36.3%","±0.1"
"        Now married, except separated","61,695,862","±136,825","49.6%","±0.1"
"        Separated","2,256,072","±25,502","1.8%","±0.1"
"        Widowed","3,218,209","±27,865","2.6%","±0.1"
"        Divorced","12,034,611","±60,479","9.7%","±0.1"
"    Females 15 years and over","130,637,147","±25,279","130,637,147","(X)"
"        Never married","39,145,401","±81,710","30.0%","±0.1"
"        Now married, except separated","60,352,322","±128,668","46.2%","±0.1"
"        Separated","3,266,813","±28,930","2.5%","±0.1"
"        Widowed","11,829,670","±43,187","9.1%","±0.1"
"        Divorced","16,042,941","±55,436","12.3%","±0.1"
"FERTILITY","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","3,930,417","±35,888","3,930,417","(X)"
"        Unmarried women (widowed, divorced, and never married)","1,415,623","±23,020","36.0%","±0.5"
"            Per 1,000 unmarried women","33","±1","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","52","±1","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","19","±1","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","91","±1","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","24","±1","(X)","(X)"
"GRANDPARENTS","","","",""
"    Number of grandparents living with own grandchildren under 18 years","7,188,581","±60,164","7,188,581","(X)"
"        Responsible for grandchildren","2,681,518","±34,733","37.3%","±0.4"
"        Years responsible for grandchildren","","","",""
"            Less than 1 year","539,465","±14,219","7.5%","±0.2"
"            1 or 2 years","617,232","±15,560","8.6%","±0.2"
"            3 or 4 years","452,753","±13,636","6.3%","±0.2"
"            5 or more years","1,072,068","±20,262","14.9%","±0.3"
"    Number of grandparents responsible for own grandchildren under 18 years","2,681,518","±34,733","2,681,518","(X)"
"        Who are female","1,673,497","±24,296","62.4%","±0.4"
"        Who are married","1,886,226","±29,431","70.3%","±0.5"
"SCHOOL ENROLLMENT","","","",""
"    Population 3 years and over enrolled in school","82,395,254","±82,946","82,395,254","(X)"
"        Nursery school, preschool","4,911,565","±30,003","6.0%","±0.1"
"        Kindergarten","4,260,900","±30,263","5.2%","±0.1"
"        Elementary school (grades 1-8)","32,936,998","±53,995","40.0%","±0.1"
"        High school (grades 9-12)","16,983,809","±43,583","20.6%","±0.1"
"        College or graduate school","23,301,982","±73,872","28.3%","±0.1"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 years and over","210,910,615","±70,550","210,910,615","(X)"
"        Less than 9th grade","12,134,368","±69,853","5.8%","±0.1"
"        9th to 12th grade, no diploma","16,133,858","±71,104","7.6%","±0.1"
"        High school graduate (includes equivalency)","58,659,473","±116,748","27.8%","±0.1"
"        Some college, no degree","44,510,161","±105,055","21.1%","±0.1"
"        Associate's degree","17,006,372","±68,332","8.1%","±0.1"
"        Bachelor's degree","38,881,973","±113,870","18.4%","±0.1"
"        Graduate or professional degree","23,584,410","±100,561","11.2%","±0.1"
"    Percent high school graduate or higher","(X)","(X)","86.6%","±0.1"
"    Percent bachelor's degree or higher","(X)","(X)","29.6%","±0.1"
"VETERAN STATUS","","","",""
"    Civilian population 18 years and over","241,556,724","±32,227","241,556,724","(X)"
"        Civilian veterans","19,588,586","±58,435","8.1%","±0.1"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","",""
"    Total Civilian Noninstitutionalized Population","311,158,104","±16,197","311,158,104","(X)"
"        With a disability","39,137,986","±106,902","12.6%","±0.1"
"    Under 18 years","73,446,062","±31,668","73,446,062","(X)"
"        With a disability","3,040,347","±31,525","4.1%","±0.1"
"    18 to 64 years","194,358,411","±29,471","194,358,411","(X)"
"        With a disability","20,321,851","±78,380","10.5%","±0.1"
"    65 years and over","43,353,631","±19,682","43,353,631","(X)"
"        With a disability","15,775,788","±48,009","36.4%","±0.1"
"RESIDENCE 1 YEAR AGO","","","",""
"    Population 1 year and over","312,432,820","±28,736","312,432,820","(X)"
"        Same house","265,461,391","±215,531","85.0%","±0.1"
"        Different house in the U.S.","45,068,182","±210,050","14.4%","±0.1"
"            Same county","27,759,420","±163,545","8.9%","±0.1"
"            Different county","17,308,762","±107,389","5.5%","±0.1"
"                Same state","10,101,429","±74,899","3.2%","±0.1"
"                Different state","7,207,333","±70,975","2.3%","±0.1"
"        Abroad","1,903,247","±36,322","0.6%","±0.1"
"PLACE OF BIRTH","","","",""
"    Total population","316,128,839","*****","316,128,839","(X)"
"        Native","274,780,773","±129,154","86.9%","±0.1"
"            Born in United States","270,215,419","±122,061","85.5%","±0.1"
"                State of residence","185,880,017","±161,195","58.8%","±0.1"
"                Different state","84,335,402","±140,132","26.7%","±0.1"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","4,565,354","±42,981","1.4%","±0.1"
"        Foreign born","41,348,066","±129,154","13.1%","±0.1"
"U.S. CITIZENSHIP STATUS","","","",""
"    Foreign-born population","41,348,066","±129,154","41,348,066","(X)"
"        Naturalized U.S. citizen","19,294,710","±82,842","46.7%","±0.2"
"        Not a U.S. citizen","22,053,356","±116,246","53.3%","±0.2"
"YEAR OF ENTRY","","","",""
"    Population born outside the United States","45,913,420","±122,061","45,913,420","(X)"
"    Native","4,565,354","±42,981","4,565,354","(X)"
"        Entered 2010 or later","409,218","±16,125","9.0%","±0.3"
"        Entered before 2010","4,156,136","±40,458","91.0%","±0.3"
"    Foreign born","41,348,066","±129,154","41,348,066","(X)"
"        Entered 2010 or later","3,990,511","±53,989","9.7%","±0.1"
"        Entered before 2010","37,357,555","±117,036","90.3%","±0.1"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","",""
"    Foreign-born population, excluding population born at sea","41,347,945","±129,157","41,347,945","(X)"
"        Europe","4,803,059","±42,857","11.6%","±0.1"
"        Asia","12,176,983","±46,332","29.5%","±0.1"
"        Africa","1,825,326","±37,011","4.4%","±0.1"
"        Oceania","222,390","±9,893","0.5%","±0.1"
"        Latin America","21,473,266","±91,953","51.9%","±0.1"
"        Northern America","846,921","±15,154","2.0%","±0.1"
"LANGUAGE SPOKEN AT HOME","","","",""
"    Population 5 years and over","296,358,760","±18,531","296,358,760","(X)"
"        English only","234,610,020","±166,431","79.2%","±0.1"
"        Language other than English","61,748,740","±162,114","20.8%","±0.1"
"            Speak English less than ""very well""","25,125,132","±103,479","8.5%","±0.1"
"        Spanish","38,417,235","±106,063","13.0%","±0.1"
"            Speak English less than ""very well""","16,201,382","±80,466","5.5%","±0.1"
"        Other Indo-European languages","10,685,918","±82,424","3.6%","±0.1"
"            Speak English less than ""very well""","3,398,725","±40,690","1.1%","±0.1"
"        Asian and Pacific Islander languages","9,819,037","±53,141","3.3%","±0.1"
"            Speak English less than ""very well""","4,656,352","±34,893","1.6%","±0.1"
