"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","",""
"    Total households","115,969,540","±150,555","115,969,540","(X)"
"    Family households (families)","76,509,262","±122,329","66.0%","±0.1"
"        With own children under 18 years","33,612,973","±72,569","29.0%","±0.1"
"        Married-couple family","55,754,450","±142,830","48.1%","±0.1"
"            With own children under 18 years","22,423,949","±76,687","19.3%","±0.1"
"        Male householder, no wife present, family","5,578,212","±43,046","4.8%","±0.1"
"            With own children under 18 years","2,697,636","±28,396","2.3%","±0.1"
"        Female householder, no husband present, family","15,176,600","±53,498","13.1%","±0.1"
"            With own children under 18 years","8,491,388","±40,891","7.3%","±0.1"
"    Nonfamily households","39,460,278","±82,851","34.0%","±0.1"
"        Householder living alone","32,256,217","±90,665","27.8%","±0.1"
"            65 years and over","11,513,067","±45,037","9.9%","±0.1"
"    Households with one or more people under 18 years","37,555,698","±70,588","32.4%","±0.1"
"    Households with one or more people 65 years and over","30,193,187","±54,865","26.0%","±0.1"
"    Average household size","2.64","±0.01","(X)","(X)"
"    Average family size","3.25","±0.01","(X)","(X)"
"RELATIONSHIP","","","",""
"    Population in households","305,885,362","*****","305,885,362","(X)"
"    Householder","115,969,540","±150,555","37.9%","±0.1"
"    Spouse","55,722,213","±140,281","18.2%","±0.1"
"    Child","93,933,535","±103,866","30.7%","±0.1"
"    Other relatives","22,275,332","±129,327","7.3%","±0.1"
"    Nonrelatives","17,984,742","±147,789","5.9%","±0.1"
"        Unmarried partner","6,960,357","±42,248","2.3%","±0.1"
"MARITAL STATUS","","","",""
"    Males 15 years and over","123,174,537","±27,552","123,174,537","(X)"
"    Never married","44,291,637","±88,580","36.0%","±0.1"
"    Now married, except separated","61,355,023","±132,935","49.8%","±0.1"
"    Separated","2,301,054","±25,122","1.9%","±0.1"
"    Widowed","3,129,475","±24,810","2.5%","±0.1"
"    Divorced","12,097,348","±58,687","9.8%","±0.1"
"    Females 15 years and over","129,570,612","±22,581","129,570,612","(X)"
"    Never married","38,367,449","±79,824","29.6%","±0.1"
"    Now married, except separated","60,019,246","±124,012","46.3%","±0.1"
"    Separated","3,285,688","±30,065","2.5%","±0.1"
"    Widowed","11,865,679","±40,443","9.2%","±0.1"
"    Divorced","16,032,550","±55,357","12.4%","±0.1"
"FERTILITY","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","4,125,353","±34,597","4,125,353","(X)"
"    Unmarried women (widowed, divorced, and never married)","1,483,976","±20,585","36.0%","±0.4"
"        Per 1,000 unmarried women","35","±1","(X)","(X)"
"    Per 1,000 women 15 to 50 years old","54","±1","(X)","(X)"
