"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","",""
"    Total households","121,520,180","±153,217","121,520,180","(X)"
"        Family households (families)","79,241,578","±137,610","65.2%","±0.1"
"            With own children of the householder under 18 years","32,777,050","±78,353","27.0%","±0.1"
"        Married-couple family","58,174,461","±165,541","47.9%","±0.1"
"            With own children of the householder under 18 years","22,257,765","±82,986","18.3%","±0.1"
"        Male householder, no wife present, family","6,005,379","±39,486","4.9%","±0.1"
"            With own children of the householder under 18 years","2,740,506","±31,175","2.3%","±0.1"
"        Female householder, no husband present, family","15,061,738","±67,919","12.4%","±0.1"
"            With own children of the householder under 18 years","7,778,779","±47,532","6.4%","±0.1"
"        Nonfamily households","42,278,602","±83,510","34.8%","±0.1"
"            Householder living alone","34,054,073","±89,821","28.0%","±0.1"
"                65 years and over","13,421,396","±50,260","11.0%","±0.1"
"        Households with one or more people under 18 years","36,878,070","±84,504","30.3%","±0.1"
"        Households with one or more people 65 years and over","36,582,233","±50,002","30.1%","±0.1"
"        Average household size","2.63","±0.01","(X)","(X)"
"        Average family size","3.24","±0.01","(X)","(X)"
"RELATIONSHIP","","","",""
"    Population in households","319,075,830","*****","319,075,830","(X)"
"        Householder","121,520,180","±153,217","38.1%","±0.1"
"        Spouse","58,150,509","±160,912","18.2%","±0.1"
"        Child","95,403,853","±149,018","29.9%","±0.1"
"        Other relatives","23,970,458","±138,505","7.5%","±0.1"
"        Nonrelatives","20,030,830","±121,384","6.3%","±0.1"
"            Unmarried partner","7,839,007","±53,879","2.5%","±0.1"
"MARITAL STATUS","","","",""
"    Males 15 years and over","129,973,543","±27,553","129,973,543","(X)"
"        Never married","48,052,364","±104,551","37.0%","±0.1"
"        Now married, except separated","64,057,452","±158,952","49.3%","±0.1"
"        Separated","2,071,170","±27,077","1.6%","±0.1"
"        Widowed","3,427,139","±27,506","2.6%","±0.1"
"        Divorced","12,365,418","±57,317","9.5%","±0.1"
"    Females 15 years and over","136,348,759","±30,209","136,348,759","(X)"
"        Never married","41,880,024","±93,321","30.7%","±0.1"
"        Now married, except separated","63,122,995","±145,835","46.3%","±0.1"
"        Separated","2,963,251","±27,794","2.2%","±0.1"
"        Widowed","11,828,945","±48,850","8.7%","±0.1"
"        Divorced","16,553,544","±71,012","12.1%","±0.1"
"FERTILITY","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","3,956,960","±30,916","3,956,960","(X)"
"        Unmarried women (widowed, divorced, and never married)","1,343,026","±18,576","33.9%","±0.4"
"            Per 1,000 unmarried women","31","±1","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","51","±1","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","12","±1","(X)","(X)"
