"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","",""
"    Total households","118,860,065","±154,606","118,860,065","(X)"
"        Family households (families)","77,785,962","±125,088","65.4%","±0.1"
"            With own children of the householder under 18 years","32,839,896","±70,961","27.6%","±0.1"
"            Married-couple family","56,967,798","±148,592","47.9%","±0.1"
"                With own children of the householder under 18 years","22,188,306","±74,925","18.7%","±0.1"
"            Male householder, no wife present, family","5,794,777","±42,670","4.9%","±0.1"
"                With own children of the householder under 18 years","2,709,515","±30,352","2.3%","±0.1"
"            Female householder, no husband present, family","15,023,387","±66,862","12.6%","±0.1"
"                With own children of the householder under 18 years","7,942,075","±48,940","6.7%","±0.1"
"        Nonfamily households","41,074,103","±103,964","34.6%","±0.1"
"            Householder living alone","33,254,192","±106,832","28.0%","±0.1"
"                65 years and over","12,731,451","±49,405","10.7%","±0.1"
"    Households with one or more people under 18 years","36,930,959","±76,344","31.1%","±0.1"
"    Households with one or more people 65 years and over","34,246,996","±54,715","28.8%","±0.1"
"    Average household size","2.65","±0.01","(X)","(X)"
"    Average family size","3.27","±0.01","(X)","(X)"
"RELATIONSHIP","","","",""
"    Population in households","315,047,636","*****","315,047,636","(X)"
"        Householder","118,860,065","±154,606","37.7%","±0.1"
"        Spouse","56,952,253","±143,632","18.1%","±0.1"
"        Child","95,553,251","±125,057","30.3%","±0.1"
"        Other relatives","23,949,690","±127,395","7.6%","±0.1"
"        Nonrelatives","19,732,377","±133,429","6.3%","±0.1"
"            Unmarried partner","7,237,348","±46,219","2.3%","±0.1"
"MARITAL STATUS","","","",""
"    Males 15 years and over","127,863,548","±30,127","127,863,548","(X)"
"        Never married","47,194,876","±89,037","36.9%","±0.1"
"        Now married, except separated","62,752,239","±135,903","49.1%","±0.1"
"        Separated","2,178,197","±28,131","1.7%","±0.1"
"        Widowed","3,384,560","±24,113","2.6%","±0.1"
"        Divorced","12,353,676","±67,374","9.7%","±0.1"
"    Females 15 years and over","134,276,506","±25,389","134,276,506","(X)"
"        Never married","41,142,530","±84,363","30.6%","±0.1"
"        Now married, except separated","61,754,268","±132,606","46.0%","±0.1"
"        Separated","3,061,194","±31,061","2.3%","±0.1"
"        Widowed","11,862,834","±47,039","8.8%","±0.1"
"        Divorced","16,455,680","±54,252","12.3%","±0.1"
"FERTILITY","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","3,946,903","±36,746","3,946,903","(X)"
"        Unmarried women (widowed, divorced, and never married)","1,380,924","±19,080","35.0%","±0.4"
"            Per 1,000 unmarried women","32","±1","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","52","±1","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","14","±1","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","89","±1","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","26","±1","(X)","(X)"
"GRANDPARENTS","","","",""
"    Number of grandparents living with own grandchildren under 18 years","7,271,261","±60,144","7,271,261","(X)"
"        Grandparents responsible for grandchildren","2,519,737","±28,473","34.7%","±0.4"
"        Years responsible for grandchildren","","","",""
"            Less than 1 year","483,733","±14,258","6.7%","±0.2"
"            1 or 2 years","548,114","±13,504","7.5%","±0.2"
"            3 or 4 years","403,942","±10,469","5.6%","±0.1"
"            5 or more years","1,083,948","±19,963","14.9%","±0.3"
"    Number of grandparents responsible for own grandchildren under 18 years","2,519,737","±28,473","2,519,737","(X)"
"        Who are female","1,580,743","±18,828","62.7%","±0.4"
"        Who are married","1,746,258","±26,132","69.3%","±0.6"
"SCHOOL ENROLLMENT","","","",""
"    Population 3 years and over enrolled in school","81,572,277","±92,069","81,572,277","(X)"
"        Nursery school, preschool","4,905,286","±39,495","6.0%","±0.1"
"        Kindergarten","4,104,332","±27,736","5.0%","±0.1"
"        Elementary school (grades 1-8)","32,848,290","±51,710","40.3%","±0.1"
"        High school (grades 9-12)","17,108,087","±44,598","21.0%","±0.1"
"        College or graduate school","22,606,282","±71,865","27.7%","±0.1"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 years and over","218,475,480","±68,613","218,475,480","(X)"
"        Less than 9th grade","11,692,904","±70,085","5.4%","±0.1"
"        9th to 12th grade, no diploma","15,719,330","±79,519","7.2%","±0.1"
"        High school graduate (includes equivalency)","59,373,780","±130,713","27.2%","±0.1"
"        Some college, no degree","45,095,348","±96,047","20.6%","±0.1"
"        Associate's degree","18,259,841","±71,604","8.4%","±0.1"
"        Bachelor's degree","42,242,395","±121,833","19.3%","±0.1"
"        Graduate or professional degree","26,091,882","±104,114","11.9%","±0.1"
"    Percent high school graduate or higher","(X)","(X)","87.5%","±0.1"
"    Percent bachelor's degree or higher","(X)","(X)","31.3%","±0.1"
"VETERAN STATUS","","","",""
"    Civilian population 18 years and over","248,478,651","±32,612","248,478,651","(X)"
"        Civilian veterans","18,496,937","±66,959","7.4%","±0.1"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","",""
"    Total Civilian Noninstitutionalized Population","318,175,867","±15,067","318,175,867","(X)"
"        With a disability","40,747,411","±100,264","12.8%","±0.1"
"    Under 18 years","73,503,793","±33,635","73,503,793","(X)"
"        With a disability","3,131,713","±36,470","4.3%","±0.1"
"    18 to 64 years","196,766,286","±24,275","196,766,286","(X)"
"        With a disability","20,761,092","±82,027","10.6%","±0.1"
"    65 years and over","47,905,788","±21,613","47,905,788","(X)"
"        With a disability","16,854,606","±54,751","35.2%","±0.1"
"RESIDENCE 1 YEAR AGO","","","",""
"    Population 1 year and over","319,361,956","±30,974","319,361,956","(X)"
"        Same house","272,660,098","±208,903","85.4%","±0.1"
"        Different house in the U.S.","44,505,194","±201,759","13.9%","±0.1"
"            Same county","26,584,001","±166,563","8.3%","±0.1"
"            Different county","17,921,193","±107,941","5.6%","±0.1"
"                Same state","10,368,657","±81,855","3.2%","±0.1"
"                Different state","7,552,536","±73,712","2.4%","±0.1"
"        Abroad","2,196,664","±37,386","0.7%","±0.1"
"PLACE OF BIRTH","","","",""
"    Total population","323,127,515","*****","323,127,515","(X)"
"        Native","279,388,170","±129,845","86.5%","±0.1"
"            Born in United States","274,384,971","±128,741","84.9%","±0.1"
"                State of residence","188,468,321","±161,055","58.3%","±0.1"
"                Different state","85,916,650","±157,879","26.6%","±0.1"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","5,003,199","±40,393","1.5%","±0.1"
"        Foreign born","43,739,345","±129,849","13.5%","±0.1"
"U.S. CITIZENSHIP STATUS","","","",""
"    Foreign-born population","43,739,345","±129,849","43,739,345","(X)"
"        Naturalized U.S. citizen","21,238,372","±80,462","48.6%","±0.2"
"        Not a U.S. citizen","22,500,973","±129,193","51.4%","±0.2"
"YEAR OF ENTRY","","","",""
"    Population born outside the United States","48,742,544","±128,744","48,742,544","(X)"
"    Native","5,003,199","±40,393","5,003,199","(X)"
"        Entered 2010 or later","912,019","±21,200","18.2%","±0.4"
"        Entered before 2010","4,091,180","±35,254","81.8%","±0.4"
"    Foreign born","43,739,345","±129,849","43,739,345","(X)"
"        Entered 2010 or later","8,125,514","±62,897","18.6%","±0.1"
