"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","",""
"    Total households","122,802,852","±137,327","122,802,852","(X)"
"        Married-couple family","58,370,842","±156,460","47.5%","±0.1"
"            With own children of the householder under 18 years","22,055,657","±82,876","18.0%","±0.1"
"        Cohabiting couple household","8,056,993","±51,391","6.6%","±0.1"
"            With own children of the householder under 18 years","2,642,092","±28,798","2.2%","±0.1"
"        Male householder, no spouse/partner present","22,363,118","±76,971","18.2%","±0.1"
"            With own children of the householder under 18 years","1,539,850","±23,295","1.3%","±0.1"
"            Householder living alone","15,624,312","±69,006","12.7%","±0.1"
"                65 years and over","4,559,502","±33,121","3.7%","±0.1"
"        Female householder, no spouse/partner present","34,011,899","±81,594","27.7%","±0.1"
"            With own children of the householder under 18 years","6,254,217","±52,375","5.1%","±0.1"
"            Householder living alone","19,128,319","±70,663","15.6%","±0.1"
"                65 years and over","9,423,804","±42,210","7.7%","±0.1"
"        Households with one or more people under 18 years","36,700,689","±85,252","29.9%","±0.1"
"        Households with one or more people 65 years and over","37,974,689","±53,179","30.9%","±0.1"
"        Average household size","2.61","±0.01","(X)","(X)"
"        Average family size","3.23","±0.01","(X)","(X)"
"RELATIONSHIP","","","",""
"    Population in households","320,155,161","*****","320,155,161","(X)"
"        Householder","122,802,852","±137,327","38.4%","±0.1"
"        Spouse","58,340,394","±154,909","18.2%","±0.1"
"        Unmarried partner","8,086,441","±50,939","2.5%","±0.1"
"        Child","94,703,318","±144,916","29.6%","±0.1"
"        Other relatives","24,113,272","±131,368","7.5%","±0.1"
"        Other nonrelatives","12,108,884","±140,028","3.8%","±0.1"
"MARITAL STATUS","","","",""
"    Males 15 years and over","130,629,205","±35,185","130,629,205","(X)"
"        Never married","48,481,154","±108,646","37.1%","±0.1"
"        Now married, except separated","64,078,466","±155,819","49.1%","±0.1"
"        Separated","2,041,898","±30,361","1.6%","±0.1"
"        Widowed","3,472,244","±27,287","2.7%","±0.1"
"        Divorced","12,555,443","±60,502","9.6%","±0.1"
"    Females 15 years and over","137,091,567","±30,035","137,091,567","(X)"
"        Never married","42,291,512","±94,635","30.8%","±0.1"
"        Now married, except separated","63,423,260","±133,059","46.3%","±0.1"
"        Separated","2,808,171","±40,339","2.0%","±0.1"
"        Widowed","11,834,834","±52,812","8.6%","±0.1"
"        Divorced","16,733,790","±59,194","12.2%","±0.1"
"FERTILITY","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","3,877,882","±31,847","3,877,882","(X)"
"        Unmarried women (widowed, divorced, and never married)","1,271,041","±23,329","32.8%","±0.5"
"            Per 1,000 unmarried women","29","±1","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","50","±1","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","11","±1","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","84","±1","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","30","±1","(X)","(X)"
"GRANDPARENTS","","","",""
"    Number of grandparents living with own grandchildren under 18 years","7,048,339","±57,411","7,048,339","(X)"
"        Grandparents responsible for grandchildren","2,335,355","±32,510","33.1%","±0.4"
"        Years responsible for grandchildren","","","",""
"            Less than 1 year","400,878","±14,938","5.7%","±0.2"
"            1 or 2 years","452,848","±15,661","6.4%","±0.2"
