"Label (Grouping)","United States!!Estimate","United States!!Estimate Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","",""
"    Total households","114,567,419","±163,249","114,567,419","(X)"
"    Family households (families)","76,089,045","±141,318","66.4%","±0.1"
"        With own children under 18 years","34,031,758","±85,177","29.7%","±0.1"
"        Married-couple family","55,704,781","±151,621","48.6%","±0.1"
"            With own children under 18 years","22,924,853","±85,871","20.0%","±0.1"
"        Male householder, no wife present, family","5,385,788","±41,922","4.7%","±0.1"
"            With own children under 18 years","2,585,091","±29,148","2.3%","±0.1"
"        Female householder, no husband present, family","14,998,476","±60,796","13.1%","±0.1"
"            With own children under 18 years","8,521,814","±52,252","7.4%","±0.1"
"    Nonfamily households","38,478,374","±96,945","33.6%","±0.1"
"        Householder living alone","31,403,342","±104,608","27.4%","±0.1"
"            65 years and over","10,908,469","±53,782","9.5%","±0.1"
"    Households with one or more people under 18 years","37,895,042","±81,717","33.1%","±0.1"
"    Households with one or more people 65 years and over","28,455,263","±57,918","24.8%","±0.1"
"    Average household size","2.63","±0.01","(X)","(X)"
"    Average family size","3.23","±0.01","(X)","(X)"
"RELATIONSHIP","","","",""
"    Population in households","301,362,366","*****","301,362,366","(X)"
"    Householder","114,567,419","±163,249","38.0%","±0.1"
"    Spouse","55,680,099","±148,586","18.5%","±0.1"
"    Child","92,136,494","±127,601","30.6%","±0.1"
"    Other relatives","21,610,953","±135,012","7.2%","±0.1"
"    Nonrelatives","17,367,401","±148,811","5.8%","±0.1"
"        Unmarried partner","6,792,607","±41,525","2.3%","±0.1"
"MARITAL STATUS","","","",""
"    Males 15 years and over","120,742,609","±25,786","120,742,609","(X)"
"    Never married","42,741,179","±100,944","35.4%","±0.1"
"    Now married, except separated","61,022,288","±135,207","50.5%","±0.1"
"    Separated","2,269,129","±28,534","1.9%","±0.1"
"    Widowed","3,076,524","±27,380","2.5%","±0.1"
"    Divorced","11,633,489","±59,432","9.6%","±0.1"
"    Females 15 years and over","127,313,337","±27,921","127,313,337","(X)"
"    Never married","36,898,838","±85,983","29.0%","±0.1"
"    Now married, except separated","59,921,913","±131,587","47.1%","±0.1"
"    Separated","3,232,503","±30,007","2.5%","±0.1"
"    Widowed","11,867,843","±41,775","9.3%","±0.1"
"    Divorced","15,392,240","±50,758","12.1%","±0.1"
"FERTILITY","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","4,168,720","±39,147","4,168,720","(X)"
"    Unmarried women (widowed, divorced, and never married)","1,501,872","±23,440","36.0%","±0.4"
"        Per 1,000 unmarried women","37","±1","(X)","(X)"
"    Per 1,000 women 15 to 50 years old","55","±1","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","26","±1","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","98","±1","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","24","±1","(X)","(X)"
"GRANDPARENTS","","","",""
"    Number of grandparents living with own grandchildren under 18 years","7,010,181","±61,714","7,010,181","(X)"
"    Responsible for grandchildren","2,738,300","±34,601","39.1%","±0.3"
"        Years responsible for grandchildren","","","",""
"            Less than 1 year","610,937","±15,389","8.7%","±0.2"
"            1 or 2 years","684,997","±18,706","9.8%","±0.2"
"            3 or 4 years","454,184","±14,696","6.5%","±0.2"
"            5 or more years","988,182","±17,100","14.1%","±0.2"
"    Number of grandparents responsible for own grandchildren under 18 years","2,738,300","±34,601","2,738,300","(X)"
"    Who are female","1,724,246","±22,926","63.0%","±0.3"
"    Who are married","1,918,581","±31,205","70.1%","±0.5"
"SCHOOL ENROLLMENT","","","",""
"    Population 3 years and over enrolled in school","82,724,222","±89,374","82,724,222","(X)"
"    Nursery school, preschool","4,949,546","±37,799","6.0%","±0.1"
"    Kindergarten","4,182,694","±32,333","5.1%","±0.1"
"    Elementary school (grades 1-8)","32,905,277","±48,809","39.8%","±0.1"
"    High school (grades 9-12)","17,235,496","±43,364","20.8%","±0.1"
"    College or graduate school","23,451,209","±76,529","28.3%","±0.1"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 years and over","204,288,933","±73,003","204,288,933","(X)"
"    Less than 9th grade","12,452,952","±65,958","6.1%","±0.1"
"    9th to 12th grade, no diploma","17,010,063","±71,713","8.3%","±0.1"
"    High school graduate (includes equivalency)","58,225,602","±122,051","28.5%","±0.1"
"    Some college, no degree","43,469,168","±101,814","21.3%","±0.1"
"    Associate's degree","15,553,106","±65,380","7.6%","±0.1"
"    Bachelor's degree","36,244,474","±119,630","17.7%","±0.1"
"    Graduate or professional degree","21,333,568","±96,706","10.4%","±0.1"
"    Percent high school graduate or higher","(X)","(X)","85.6%","±0.1"
"    Percent bachelor's degree or higher","(X)","(X)","28.2%","±0.1"
"VETERAN STATUS","","","",""
"    Civilian population 18 years and over","234,137,287","±29,961","234,137,287","(X)"
"    Civilian veterans","21,798,077","±63,662","9.3%","±0.1"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","",""
"    Total Civilian Noninstitutionalized Population","304,287,836","±15,169","304,287,836","(X)"
"    With a disability","36,354,712","±101,731","11.9%","±0.1"
"    Under 18 years","74,017,524","±32,680","74,017,524","(X)"
"    With a disability","2,954,635","±36,749","4.0%","±0.1"
"    18 to 64 years","191,138,060","±27,917","191,138,060","(X)"
"    With a disability","19,048,426","±72,658","10.0%","±0.1"
"    65 years and over","39,132,252","±22,473","39,132,252","(X)"
"    With a disability","14,351,651","±46,080","36.7%","±0.1"
"RESIDENCE 1 YEAR AGO","","","",""
"    Population 1 year and over","305,628,607","±29,823","305,628,607","(X)"
"    Same house","258,552,348","±236,128","84.6%","±0.1"
"    Different house in the U.S.","45,326,114","±222,388","14.8%","±0.1"
"        Same county","28,850,018","±197,369","9.4%","±0.1"
"        Different county","16,476,096","±116,383","5.4%","±0.1"
"            Same state","9,732,867","±92,019","3.2%","±0.1"
"            Different state","6,743,229","±69,387","2.2%","±0.1"
"    Abroad","1,750,145","±36,993","0.6%","±0.1"
"PLACE OF BIRTH","","","",""
"    Total population","309,349,689","*****","309,349,689","(X)"
"    Native","269,393,835","±115,157","87.1%","±0.1"
"        Born in United States","265,166,046","±113,575","85.7%","±0.1"
"            State of residence","181,747,947","±164,433","58.8%","±0.1"
"            Different state","83,418,099","±144,037","27.0%","±0.1"
"        Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","4,227,789","±46,435","1.4%","±0.1"
"    Foreign born","39,955,854","±115,157","12.9%","±0.1"
"U.S. CITIZENSHIP STATUS","","","",""
"    Foreign-born population","39,955,854","±115,157","39,955,854","(X)"
"    Naturalized U.S. citizen","17,476,082","±81,705","43.7%","±0.2"
"    Not a U.S. citizen","22,479,772","±120,443","56.3%","±0.2"
"YEAR OF ENTRY","","","",""
"    Population born outside the United States","44,183,643","±113,575","44,183,643","(X)"
"    Native","4,227,789","±46,435","4,227,789","(X)"
"    Entered 2000 or later","1,017,308","±23,761","24.1%","±0.4"
"    Entered before 2000","3,210,481","±36,752","75.9%","±0.4"
"    Foreign born","39,955,854","±115,157","39,955,854","(X)"
"    Entered 2000 or later","13,863,080","±99,490","34.7%","±0.2"
"    Entered before 2000","26,092,774","±91,271","65.3%","±0.2"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","",""
"    Foreign-born population, excluding population born at sea","39,955,673","±115,146","39,955,673","(X)"
"    Europe","4,817,437","±43,994","12.1%","±0.1"
"    Asia","11,283,574","±46,957","28.2%","±0.1"
"    Africa","1,606,914","±32,680","4.0%","±0.1"
"    Oceania","216,736","±10,114","0.5%","±0.1"
"    Latin America","21,224,087","±89,776","53.1%","±0.1"
"    Northern America","806,925","±15,810","2.0%","±0.1"
"LANGUAGE SPOKEN AT HOME","","","",""
"    Population 5 years and over","289,215,746","±20,568","289,215,746","(X)"
"    English only","229,673,150","±131,558","79.4%","±0.1"
"    Language other than English","59,542,596","±126,136","20.6%","±0.1"
"        Speak English less than ""very well""","25,223,045","±93,479","8.7%","±0.1"
"        Spanish","36,995,602","±84,138","12.8%","±0.1"
"            Speak English less than ""very well""","16,523,718","±84,110","5.7%","±0.1"
"        Other Indo-European languages","10,666,771","±84,288","3.7%","±0.1"
"            Speak English less than ""very well""","3,440,904","±43,673","1.2%","±0.1"
"        Asian and Pacific Islander languages","9,340,583","±57,117","3.2%","±0.1"
"            Speak English less than ""very well""","4,471,496","±36,987","1.5%","±0.1"
"        Other languages","2,539,640","±39,541","0.9%","±0.1"
"            Speak English less than ""very well""","786,927","±22,463","0.3%","±0.1"
"ANCESTRY","","","",""
"    Total population","309,349,689","*****","309,349,689","(X)"
"    American","19,975,875","±105,096","6.5%","±0.1"
