"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","",""
"    Total households","114,991,725","±179,541","114,991,725","(X)"
"    Family households (families)","76,084,006","±144,469","66.2%","±0.1"
"        With own children under 18 years","33,763,140","±78,715","29.4%","±0.1"
"        Married-couple family","55,519,648","±157,000","48.3%","±0.1"
"            With own children under 18 years","22,561,313","±79,059","19.6%","±0.1"
"        Male householder, no wife present, family","5,457,141","±40,784","4.7%","±0.1"
"            With own children under 18 years","2,652,056","±31,162","2.3%","±0.1"
"        Female householder, no husband present, family","15,107,217","±60,980","13.1%","±0.1"
"            With own children under 18 years","8,549,771","±52,338","7.4%","±0.1"
"    Nonfamily households","38,907,719","±111,894","33.8%","±0.1"
"        Householder living alone","31,886,794","±114,173","27.7%","±0.1"
"            65 years and over","11,112,330","±55,132","9.7%","±0.1"
"    Households with one or more people under 18 years","37,620,951","±79,610","32.7%","±0.1"
"    Households with one or more people 65 years and over","28,984,531","±62,985","25.2%","±0.1"
"    Average household size","2.64","±0.01","(X)","(X)"
"    Average family size","3.25","±0.01","(X)","(X)"
"RELATIONSHIP","","","",""
"    Population in households","303,585,583","*****","303,585,583","(X)"
"    Householder","114,991,725","±179,541","37.9%","±0.1"
"    Spouse","55,488,146","±156,253","18.3%","±0.1"
"    Child","93,388,246","±117,804","30.8%","±0.1"
"    Other relatives","22,134,720","±140,540","7.3%","±0.1"
"    Nonrelatives","17,582,746","±162,044","5.8%","±0.1"
"        Unmarried partner","6,746,252","±45,800","2.2%","±0.1"
"MARITAL STATUS","","","",""
"    Males 15 years and over","121,988,172","±24,952","121,988,172","(X)"
"    Never married","43,674,898","±96,892","35.8%","±0.1"
"    Now married, except separated","61,076,581","±137,000","50.1%","±0.1"
"    Separated","2,309,733","±23,029","1.9%","±0.1"
"    Widowed","3,107,206","±23,678","2.5%","±0.1"
"    Divorced","11,819,754","±54,630","9.7%","±0.1"
"    Females 15 years and over","128,404,609","±25,687","128,404,609","(X)"
"    Never married","37,708,516","±81,869","29.4%","±0.1"
"    Now married, except separated","59,817,118","±138,763","46.6%","±0.1"
"    Separated","3,310,467","±32,799","2.6%","±0.1"
"    Widowed","11,913,302","±43,627","9.3%","±0.1"
"    Divorced","15,655,206","±74,237","12.2%","±0.1"
"FERTILITY","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","4,113,472","±38,124","4,113,472","(X)"
