"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","",""
"    Total households","120,756,048","±236,892","120,756,048","(X)"
"        Married-couple family","58,198,771","±290,247","48.2%","±0.1"
"            With own children of the householder under 18 years","22,736,641","±202,770","18.8%","±0.1"
"        Cohabiting couple household","7,572,122","±18,778","6.3%","±0.1"
"            With own children of the householder under 18 years","2,611,431","±12,096","2.2%","±0.1"
"        Male householder, no spouse/partner present","21,526,258","±63,698","17.8%","±0.1"
"            With own children of the householder under 18 years","1,536,353","±13,075","1.3%","±0.1"
"            Householder living alone","15,036,863","±29,543","12.5%","±0.1"
"                65 years and over","4,227,728","±30,255","3.5%","±0.1"
"        Female householder, no spouse/partner present","33,458,897","±25,193","27.7%","±0.1"
"            With own children of the householder under 18 years","6,453,219","±24,362","5.3%","±0.1"
"            Householder living alone","18,612,734","±49,800","15.4%","±0.1"
"                65 years and over","9,032,038","±68,217","7.5%","±0.1"
"        Households with one or more people under 18 years","37,494,224","±175,414","31.0%","±0.1"
"        Households with one or more people 65 years and over","35,488,687","±90,797","29.4%","±0.1"
"        Average household size","2.62","±0.01","(X)","(X)"
"        Average family size","3.23","±0.01","(X)","(X)"
"RELATIONSHIP","","","",""
"    Population in households","316,606,796","*****","316,606,796","(X)"
"        Householder","120,756,048","±236,892","38.1%","±0.1"
"        Spouse","58,166,578","±288,865","18.4%","±0.1"
"        Unmarried partner","7,604,104","±18,998","2.4%","±0.1"
"        Child","94,786,781","±113,512","29.9%","±0.1"
"        Other relatives","23,308,316","±244,686","7.4%","±0.1"
"        Other nonrelatives","11,984,969","±185,847","3.8%","±0.1"
"MARITAL STATUS","","","",""
"    Males 15 years and over","128,789,454","±6,897","128,789,454","(X)"
"        Never married","47,039,874","±183,946","36.5%","±0.1"
"        Now married, except separated","64,014,364","±267,615","49.7%","±0.2"
"        Separated","2,094,580","±17,295","1.6%","±0.1"
"        Widowed","3,396,202","±11,100","2.6%","±0.1"
"        Divorced","12,244,434","±68,801","9.5%","±0.1"
"    Females 15 years and over","135,055,916","±6,785","135,055,916","(X)"
"        Never married","41,019,187","±136,251","30.4%","±0.1"
"        Now married, except separated","62,809,181","±212,247","46.5%","±0.2"
"        Separated","2,950,832","±25,164","2.2%","±0.1"
"        Widowed","11,878,769","±21,862","8.8%","±0.1"
"        Divorced","16,397,947","±59,850","12.1%","±0.1"
"FERTILITY","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","3,987,092","±22,278","3,987,092","(X)"
"        Unmarried women (widowed, divorced, and never married)","1,342,235","±10,629","33.7%","±0.3"
"            Per 1,000 unmarried women","31","±1","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","52","±1","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","13","±1","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","89","±1","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","28","±1","(X)","(X)"
"GRANDPARENTS","","","",""
"    Number of grandparents living with own grandchildren under 18 years","7,239,762","±34,628","7,239,762","(X)"
"        Grandparents responsible for grandchildren","2,467,425","±15,324","34.1%","±0.2"
"        Years responsible for grandchildren","","","",""
"            Less than 1 year","457,534","±5,659","6.3%","±0.1"
"            1 or 2 years","519,886","±6,774","7.2%","±0.1"
"            3 or 4 years","402,834","±6,120","5.6%","±0.1"
"            5 or more years","1,087,171","±8,783","15.0%","±0.1"
"    Number of grandparents responsible for own grandchildren under 18 years","2,467,425","±15,324","2,467,425","(X)"
"        Who are female","1,554,274","±11,410","63.0%","±0.2"
"        Who are married","1,693,180","±11,380","68.6%","±0.2"
"SCHOOL ENROLLMENT","","","",""
"    Population 3 years and over enrolled in school","81,084,866","±89,332","81,084,866","(X)"
"        Nursery school, preschool","4,976,762","±23,653","6.1%","±0.1"
"        Kindergarten","4,048,970","±14,916","5.0%","±0.1"
"        Elementary school (grades 1-8)","32,738,963","±24,965","40.4%","±0.1"
"        High school (grades 9-12)","16,991,221","±19,178","21.0%","±0.1"
"        College or graduate school","22,328,950","±74,379","27.5%","±0.1"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 years and over","220,622,076","±17,615","220,622,076","(X)"
"        Less than 9th grade","11,284,290","±63,834","5.1%","±0.1"
"        9th to 12th grade, no diploma","15,187,971","±79,447","6.9%","±0.1"
"        High school graduate (includes equivalency)","59,472,748","±230,485","27.0%","±0.1"
"        Some college, no degree","45,044,698","±46,660","20.4%","±0.1"
"        Associate's degree","18,712,207","±48,621","8.5%","±0.1"
"        Bachelor's degree","43,646,104","±167,232","19.8%","±0.1"
"        Graduate or professional degree","27,274,058","±177,786","12.4%","±0.1"
"        High school graduate or higher","194,149,815","±154,375","88.0%","±0.1"
"        Bachelor's degree or higher","70,920,162","±339,495","32.1%","±0.2"
"VETERAN STATUS","","","",""
"    Civilian population 18 years and over","250,195,726","±7,877","250,195,726","(X)"
"        Civilian veterans","18,230,322","±50,396","7.3%","±0.1"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","",""
"    Total Civilian Noninstitutionalized Population","319,706,872","±9,514","319,706,872","(X)"
