"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","",""
"    Total households","115,610,216","±238,223","115,610,216","(X)"
"        Family households (families)","76,744,358","±214,842","66.4%","±0.1"
"            With own children under 18 years","34,165,566","±170,101","29.6%","±0.1"
"            Married-couple family","56,305,876","±270,360","48.7%","±0.1"
"                With own children under 18 years","23,085,472","±196,757","20.0%","±0.1"
"            Male householder, no wife present, family","5,435,145","±30,588","4.7%","±0.1"
"                With own children under 18 years","2,624,246","±15,872","2.3%","±0.1"
"            Female householder, no husband present, family","15,003,337","±38,047","13.0%","±0.1"
"                With own children under 18 years","8,455,848","±25,345","7.3%","±0.1"
"        Nonfamily households","38,865,858","±40,279","33.6%","±0.1"
"            Householder living alone","31,778,729","±65,661","27.5%","±0.1"
"                65 years and over","11,296,134","±101,946","9.8%","±0.1"
"    Households with one or more people under 18 years","38,079,905","±167,610","32.9%","±0.1"
"    Households with one or more people 65 years and over","29,437,629","±97,255","25.5%","±0.1"
"    Average household size","2.63","±0.01","(X)","(X)"
"    Average family size","3.22","±0.01","(X)","(X)"
"RELATIONSHIP","","","",""
"    Population in households","303,509,553","*****","303,509,553","(X)"
"        Householder","115,610,216","±238,223","38.1%","±0.1"
"        Spouse","56,274,613","±267,761","18.5%","±0.1"
"        Child","92,733,305","±81,237","30.6%","±0.1"
"        Other relatives","21,455,991","±235,412","7.1%","±0.1"
"        Nonrelatives","17,435,428","±206,345","5.7%","±0.1"
"            Unmarried partner","6,821,460","±21,511","2.2%","±0.1"
"MARITAL STATUS","","","",""
"    Males 15 years and over","122,004,291","±6,500","122,004,291","(X)"
"        Never married","43,247,274","±156,815","35.4%","±0.1"
"        Now married, except separated","61,763,540","±238,195","50.6%","±0.2"
"        Separated","2,244,606","±18,977","1.8%","±0.1"
"        Widowed","3,107,443","±12,102","2.5%","±0.1"
"        Divorced","11,641,428","±72,320","9.5%","±0.1"
"    Females 15 years and over","128,398,522","±6,101","128,398,522","(X)"
"        Never married","37,388,400","±118,760","29.1%","±0.1"
"        Now married, except separated","60,397,966","±192,482","47.0%","±0.1"
"        Separated","3,230,039","±23,011","2.5%","±0.1"
"        Widowed","11,872,531","±23,529","9.2%","±0.1"
"        Divorced","15,509,586","±68,953","12.1%","±0.1"
"FERTILITY","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","4,165,860","±19,067","4,165,860","(X)"
"        Unmarried women (widowed, divorced, and never married)","1,476,767","±9,994","35.4%","±0.3"
"            Per 1,000 unmarried women","36","±1","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","55","±1","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","24","±1","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","97","±1","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","25","±1","(X)","(X)"
"GRANDPARENTS","","","",""
"    Number of grandparents living with own grandchildren under 18 years","7,023,620","±33,345","7,023,620","(X)"
"        Responsible for grandchildren","2,733,807","±13,986","38.9%","±0.2"
"        Years responsible for grandchildren","","","",""
